Freq.	V(OUT)/V(COMP)
1.21618600064636e+00	(2.43378307708097e+01dB,-1.30827721905140e+01°)
1.21898959892486e+00	(2.43368035561085e+01dB,-1.31118899164645e+01°)
1.22179966016487e+00	(2.43357718445894e+01dB,-1.31410678476763e+01°)
1.22461619926504e+00	(2.43347356176442e+01dB,-1.31703060782955e+01°)
1.22743923115840e+00	(2.43336948565942e+01dB,-1.31996047024077e+01°)
1.23026877081238e+00	(2.43326495426933e+01dB,-1.32289638140405e+01°)
1.23310483322890e+00	(2.43315996571281e+01dB,-1.32583835071629e+01°)
1.23594743344450e+00	(2.43305451810174e+01dB,-1.32878638756827e+01°)
1.23879658653036e+00	(2.43294860954093e+01dB,-1.33174050134409e+01°)
1.24165230759240e+00	(2.43284223812882e+01dB,-1.33470070142207e+01°)
1.24451461177138e+00	(2.43273540195636e+01dB,-1.33766699717291e+01°)
1.24738351424294e+00	(2.43262809910842e+01dB,-1.34063939796170e+01°)
1.25025903021771e+00	(2.43252032766213e+01dB,-1.34361791314522e+01°)
1.25314117494141e+00	(2.43241208568839e+01dB,-1.34660255207414e+01°)
1.25602996369487e+00	(2.43230337125069e+01dB,-1.34959332409098e+01°)
1.25892541179416e+00	(2.43219418240599e+01dB,-1.35259023853139e+01°)
1.26182753459066e+00	(2.43208451720414e+01dB,-1.35559330472311e+01°)
1.26473634747114e+00	(2.43197437368785e+01dB,-1.35860253198568e+01°)
1.26765186585784e+00	(2.43186374989309e+01dB,-1.36161792963102e+01°)
1.27057410520853e+00	(2.43175264384867e+01dB,-1.36463950696251e+01°)
1.27350308101665e+00	(2.43164105357662e+01dB,-1.36766727327552e+01°)
1.27643880881134e+00	(2.43152897709163e+01dB,-1.37070123785635e+01°)
1.27938130415752e+00	(2.43141641240145e+01dB,-1.37374140998263e+01°)
1.28233058265601e+00	(2.43130335750709e+01dB,-1.37678779892360e+01°)
1.28528665994361e+00	(2.43118981040182e+01dB,-1.37984041393826e+01°)
1.28824955169313e+00	(2.43107576907240e+01dB,-1.38289926427720e+01°)
1.29121927361353e+00	(2.43096123149828e+01dB,-1.38596435918119e+01°)
1.29419584144998e+00	(2.43084619565177e+01dB,-1.38903570788124e+01°)
1.29717927098395e+00	(2.43073065949804e+01dB,-1.39211331959847e+01°)
1.30016957803328e+00	(2.43061462099520e+01dB,-1.39519720354406e+01°)
1.30316677845229e+00	(2.43049807809415e+01dB,-1.39828736891879e+01°)
1.30617088813183e+00	(2.43038102873841e+01dB,-1.40138382491274e+01°)
1.30918192299940e+00	(2.43026347086479e+01dB,-1.40448658070602e+01°)
1.31219989901919e+00	(2.43014540240232e+01dB,-1.40759564546701e+01°)
1.31522483219223e+00	(2.43002682127295e+01dB,-1.41071102835324e+01°)
1.31825673855640e+00	(2.42990772539185e+01dB,-1.41383273851174e+01°)
1.32129563418657e+00	(2.42978811266640e+01dB,-1.41696078507722e+01°)
1.32434153519466e+00	(2.42966798099674e+01dB,-1.42009517717277e+01°)
1.32739445772973e+00	(2.42954732827624e+01dB,-1.42323592391049e+01°)
1.33045441797808e+00	(2.42942615239031e+01dB,-1.42638303438929e+01°)
1.33352143216332e+00	(2.42930445121738e+01dB,-1.42953651769644e+01°)
1.33659551654643e+00	(2.42918222262858e+01dB,-1.43269638290671e+01°)
1.33967668742593e+00	(2.42905946448765e+01dB,-1.43586263908219e+01°)
1.34276496113785e+00	(2.42893617465089e+01dB,-1.43903529527190e+01°)
1.34586035405594e+00	(2.42881235096747e+01dB,-1.44221436051220e+01°)
1.34896288259164e+00	(2.42868799127874e+01dB,-1.44539984382541e+01°)
1.35207256319427e+00	(2.42856309341904e+01dB,-1.44859175422100e+01°)
1.35518941235103e+00	(2.42843765521530e+01dB,-1.45179010069474e+01°)
1.35831344658714e+00	(2.42831167448662e+01dB,-1.45499489222779e+01°)
1.36144468246594e+00	(2.42818514904530e+01dB,-1.45820613778823e+01°)
1.36458313658891e+00	(2.42805807669535e+01dB,-1.46142384632836e+01°)
1.36772882559584e+00	(2.42793045523439e+01dB,-1.46464802678776e+01°)
