Freq.	V(OUT)/V(INJ)
1.11686324778056e+00	(1.06108308359966e+02dB,8.50577486600109e+01°)
1.11943788346715e+00	(1.06087652591709e+02dB,8.49702425047732e+01°)
1.12201845430196e+00	(1.06066978387756e+02dB,8.48827167100761e+01°)
1.12460497396692e+00	(1.06046285736589e+02dB,8.47951711321120e+01°)
1.12719745617551e+00	(1.06025574626487e+02dB,8.47076056272595e+01°)
1.12979591467279e+00	(1.06004845045532e+02dB,8.46200200520671e+01°)
1.13240036323555e+00	(1.05984096981603e+02dB,8.45324142632793e+01°)
1.13501081567231e+00	(1.05963330422380e+02dB,8.44447881178455e+01°)
1.13762728582343e+00	(1.05942545355340e+02dB,8.43571414729169e+01°)
1.14024978756117e+00	(1.05921741767757e+02dB,8.42694741858608e+01°)
1.14287833478977e+00	(1.05900919646708e+02dB,8.41817861142729e+01°)
1.14551294144553e+00	(1.05880078979069e+02dB,8.40940771159714e+01°)
1.14815362149688e+00	(1.05859219751511e+02dB,8.40063470490214e+01°)
1.15080038894443e+00	(1.05838341950505e+02dB,8.39185957717341e+01°)
1.15345325782109e+00	(1.05817445562326e+02dB,8.38308231426714e+01°)
1.15611224219209e+00	(1.05796530573041e+02dB,8.37430290206662e+01°)
1.15877735615512e+00	(1.05775596968518e+02dB,8.36552132648161e+01°)
1.16144861384034e+00	(1.05754644734426e+02dB,8.35673757345030e+01°)
1.16412602941049e+00	(1.05733673856231e+02dB,8.34795162893941e+01°)
1.16680961706096e+00	(1.05712684319199e+02dB,8.33916347894484e+01°)
1.16949939101987e+00	(1.05691676108394e+02dB,8.33037310949364e+01°)
1.17219536554813e+00	(1.05670649208681e+02dB,8.32158050664359e+01°)
1.17489755493953e+00	(1.05649603604719e+02dB,8.31278565648453e+01°)
1.17760597352080e+00	(1.05628539280973e+02dB,8.30398854513891e+01°)
1.18032063565173e+00	(1.05607456221701e+02dB,8.29518915876291e+01°)
1.18304155572516e+00	(1.05586354410965e+02dB,8.28638748354707e+01°)
1.18576874816716e+00	(1.05565233832624e+02dB,8.27758350571680e+01°)
1.18850222743701e+00	(1.05544094470333e+02dB,8.26877721153476e+01°)
1.19124200802737e+00	(1.05522936307555e+02dB,8.25996858729859e+01°)
1.19398810446427e+00	(1.05501759327544e+02dB,8.25115761934448e+01°)
1.19674053130724e+00	(1.05480563513358e+02dB,8.24234429404774e+01°)
1.19949930314937e+00	(1.05459348847853e+02dB,8.23352859782175e+01°)
1.20226443461741e+00	(1.05438115313685e+02dB,8.22471051712069e+01°)
1.20503594037179e+00	(1.05416862893310e+02dB,8.21589003843905e+01°)
1.20781383510677e+00	(1.05395591568986e+02dB,8.20706714831326e+01°)
1.21059813355048e+00	(1.05374301322766e+02dB,8.19824183332288e+01°)
1.21338885046497e+00	(1.05352992136507e+02dB,8.18941408008978e+01°)
1.21618600064636e+00	(1.05331663991867e+02dB,8.18058387527999e+01°)
1.21898959892486e+00	(1.05310316870303e+02dB,8.17175120560542e+01°)
1.22179966016487e+00	(1.05288950753070e+02dB,8.16291605782304e+01°)
1.22461619926504e+00	(1.05267565621228e+02dB,8.15407841873606e+01°)
1.22743923115840e+00	(1.05246161455635e+02dB,8.14523827519609e+01°)
1.23026877081238e+00	(1.05224738236952e+02dB,8.13639561410201e+01°)
1.23310483322890e+00	(1.05203295945639e+02dB,8.12755042240237e+01°)
1.23594743344450e+00	(1.05181834561959e+02dB,8.11870268709480e+01°)
1.23879658653036e+00	(1.05160354065975e+02dB,8.10985239522830e+01°)
1.24165230759240e+00	(1.05138854437555e+02dB,8.10099953390263e+01°)
1.24451461177138e+00	(1.05117335656362e+02dB,8.09214409027118e+01°)
1.24738351424294e+00	(1.05095797701871e+02dB,8.08328605153826e+01°)
1.25025903021771e+00	(1.05074240553348e+02dB,8.07442540496408e+01°)
1.25314117494141e+00	(1.05052664189870e+02dB,8.06556213786280e+01°)
1.25602996369487e+00	(1.05031068590312e+02dB,8.05669623760416e+01°)
1.25892541179416e+00	(1.05009453733354e+02dB,8.04782769161434e+01°)
1.26182753459066e+00	(1.04987819597480e+02dB,8.03895648737652e+01°)
1.26473634747114e+00	(1.04966166160972e+02dB,8.03008261243198e+01°)
1.26765186585784e+00	(1.04944493401921e+02dB,8.02120605438131e+01°)
1.27057410520853e+00	(1.04922801298220e+02dB,8.01232680088400e+01°)
1.27350308101665e+00	(1.04901089827565e+02dB,8.00344483966045e+01°)
1.27643880881134e+00	(1.04879358967457e+02dB,7.99456015849243e+01°)
1.27938130415752e+00	(1.04857608695201e+02dB,7.98567274522376e+01°)
1.28233058265601e+00	(1.04835838987909e+02dB,7.97678258776063e+01°)
1.28528665994361e+00	(1.04814049822492e+02dB,7.96788967407423e+01°)
1.28824955169313e+00	(1.04792241175672e+02dB,7.95899399219960e+01°)
1.29121927361353e+00	(1.04770413023975e+02dB,7.95009553023672e+01°)
1.29419584144998e+00	(1.04748565343732e+02dB,7.94119427635255e+01°)
