Freq.	V(p15v_pri)/V(inj)
1.08893009333343e+00	(6.94950752266540e+01dB,1.03657366096013e+02°)
1.09144033644875e+00	(6.94764778030576e+01dB,1.03631357275487e+02°)
1.09395636627209e+00	(6.94578773311714e+01dB,1.03605398535761e+02°)
1.09647819614318e+00	(6.94392738237430e+01dB,1.03579489751923e+02°)
1.09900583943252e+00	(6.94206672934299e+01dB,1.03553630799146e+02°)
1.10153930954141e+00	(6.94020577527996e+01dB,1.03527821552691e+02°)
1.10407861990207e+00	(6.93834452143299e+01dB,1.03502061887906e+02°)
1.10662378397766e+00	(6.93648296904089e+01dB,1.03476351680233e+02°)
1.10917481526240e+00	(6.93462111933357e+01dB,1.03450690805211e+02°)
1.11173172728159e+00	(6.93275897353202e+01dB,1.03425079138475e+02°)
1.11429453359173e+00	(6.93089653284833e+01dB,1.03399516555759e+02°)
1.11686324778056e+00	(6.92903379848576e+01dB,1.03374002932904e+02°)
1.11943788346715e+00	(6.92717077163872e+01dB,1.03348538145854e+02°)
1.12201845430196e+00	(6.92530745349280e+01dB,1.03323122070662e+02°)
1.12460497396692e+00	(6.92344384522482e+01dB,1.03297754583494e+02°)
1.12719745617551e+00	(6.92157994800280e+01dB,1.03272435560627e+02°)
1.12979591467279e+00	(6.91971576298606e+01dB,1.03247164878457e+02°)
1.13240036323555e+00	(6.91785129132519e+01dB,1.03221942413498e+02°)
1.13501081567231e+00	(6.91598653416208e+01dB,1.03196768042385e+02°)
1.13762728582343e+00	(6.91412149262995e+01dB,1.03171641641878e+02°)
1.14024978756117e+00	(6.91225616785340e+01dB,1.03146563088865e+02°)
1.14287833478977e+00	(6.91039056094840e+01dB,1.03121532260361e+02°)
1.14551294144553e+00	(6.90852467302232e+01dB,1.03096549033515e+02°)
1.14815362149688e+00	(6.90665850517398e+01dB,1.03071613285610e+02°)
1.15080038894443e+00	(6.90479205849367e+01dB,1.03046724894065e+02°)
1.15345325782109e+00	(6.90292533406313e+01dB,1.03021883736441e+02°)
1.15611224219209e+00	(6.90105833295565e+01dB,1.02997089690438e+02°)
1.15877735615512e+00	(6.89919105623604e+01dB,1.02972342633904e+02°)
1.16144861384034e+00	(6.89732350496068e+01dB,1.02947642444831e+02°)
1.16412602941049e+00	(6.89545568017755e+01dB,1.02922989001364e+02°)
1.16680961706096e+00	(6.89358758292625e+01dB,1.02898382181796e+02°)
1.16949939101987e+00	(6.89171921423800e+01dB,1.02873821864579e+02°)
1.17219536554813e+00	(6.88985057513574e+01dB,1.02849307928320e+02°)
1.17489755493953e+00	(6.88798166663407e+01dB,1.02824840251784e+02°)
1.17760597352080e+00	(6.88611248973934e+01dB,1.02800418713900e+02°)
1.18032063565173e+00	(6.88424304544967e+01dB,1.02776043193761e+02°)
1.18304155572516e+00	(6.88237333475493e+01dB,1.02751713570626e+02°)
1.18576874816716e+00	(6.88050335863685e+01dB,1.02727429723924e+02°)
1.18850222743701e+00	(6.87863311806896e+01dB,1.02703191533255e+02°)
1.19124200802737e+00	(6.87676261401670e+01dB,1.02678998878393e+02°)
