0.000000000000000e+00	-8.206649e-10
1.035199739517821e-09	-8.206649e-10
1.105599275117326e-09	-8.206649e-10
1.246398346316337e-09	-8.206649e-10
1.527996488714358e-09	-8.206649e-10
2.091192773510400e-09	-8.206649e-10
2.795467233359649e-09	-8.206649e-10
3.734707787851390e-09	-8.206649e-10
4.926759321639575e-09	-8.206649e-10
6.589140852881932e-09	-8.206649e-10
8.972766782541402e-09	-8.206649e-10
1.277424755407908e-08	-8.206649e-10
2.001944954553329e-08	-8.206648e-10
3.450985352844169e-08	-8.206648e-10
5.254721846857746e-08	-8.206648e-10
7.243598483786435e-08	-8.206648e-10
1.004917789893991e-07	-8.206648e-10
1.305978494201806e-07	-8.206648e-10
1.772215972316575e-07	-8.206647e-10
2.210183117974791e-07	-8.206646e-10
2.949042932288454e-07	-8.206646e-10
3.237441439925038e-07	-8.206646e-10
3.516398329752091e-07	-8.206646e-10
3.795355219579145e-07	-8.206645e-10
4.074312109406197e-07	-8.206645e-10
4.353268999233251e-07	-8.206645e-10
4.632225889060304e-07	-8.206645e-10
4.911182778887357e-07	-8.206644e-10
5.190139668714410e-07	-8.206644e-10
6.651486594070926e-07	-8.206643e-10
8.160452898028434e-07	-8.206641e-10
1.041867287374511e-06	-8.206640e-10
1.152407496868253e-06	-8.206639e-10
1.214173853316976e-06	-8.206639e-10
1.265476104882277e-06	-8.206638e-10
1.307652329617522e-06	-8.206638e-10
1.349917966618571e-06	-8.206638e-10
1.397242361249774e-06	-8.206637e-10
1.448171492440105e-06	-8.206636e-10
1.510021414824802e-06	-8.206636e-10
1.532779884484162e-06	-8.206636e-10
1.550244318829743e-06	-8.206636e-10
1.565373238582679e-06	-8.206635e-10
1.585633519572606e-06	-8.206635e-10
1.607526469942581e-06	-8.206635e-10
1.634602213084822e-06	-8.206635e-10
1.660499554427480e-06	-8.206635e-10
1.688922606992624e-06	-8.206634e-10
1.723922533226310e-06	-8.206634e-10
1.768600114658897e-06	-8.206634e-10
1.818973000468458e-06	-8.206633e-10
1.917601326405528e-06	-8.206633e-10
1.966028578183920e-06	-8.206632e-10
1.991427203613858e-06	-8.206632e-10
2.006907192070409e-06	-8.206632e-10
2.028566273033194e-06	-8.206631e-10
2.045030385102078e-06	-8.206631e-10
2.063955331050522e-06	-8.206631e-10
2.082365386194643e-06	-8.206631e-10
2.108926943742700e-06	-8.206631e-10
2.141395189490808e-06	-8.206631e-10
2.183664800049798e-06	-8.206630e-10
2.234601437119210e-06	-8.206630e-10
2.299472972208800e-06	-8.206629e-10
2.380181263960735e-06	-8.206629e-10
2.482045007463237e-06	-8.206628e-10
2.609584692400407e-06	-8.206627e-10
2.771036433937017e-06	-8.206625e-10
2.955834936114570e-06	-8.206624e-10
3.143418062363643e-06	-8.206623e-10
3.347174085339408e-06	-8.206621e-10
3.561990003506703e-06	-8.206619e-10
3.809053782982381e-06	-8.206617e-10
4.093510117390303e-06	-8.206614e-10
4.445546798922667e-06	-8.206612e-10
4.880599311124324e-06	-8.206608e-10
5.312120291476262e-06	-8.206604e-10
5.810404718422571e-06	-8.206599e-10
6.358078435491452e-06	-8.206595e-10
7.057424329217329e-06	-8.206588e-10
7.937422455177711e-06	-8.206580e-10
9.120686601963624e-06	-8.206570e-10
1.093748920551307e-05	-8.206553e-10
1.328664178276616e-05	-8.206530e-10
1.557339777104256e-05	-8.206507e-10
1.806166863399644e-05	-8.206481e-10
2.000000000000000e-05	-8.206461e-10
2.012778726952821e-05	-8.206461e-10
2.025557453905641e-05	-8.206461e-10
2.038336180858461e-05	-8.206461e-10
2.051114907811281e-05	-8.206460e-10
2.063893634764102e-05	-8.206460e-10
2.076672361716922e-05	-8.206460e-10
2.089451088669743e-05	-8.206460e-10
2.146681900789590e-05	-8.206460e-10
2.256423152406654e-05	-8.206459e-10
2.409858310912210e-05	-8.206458e-10
2.560892348620804e-05	-8.206457e-10
2.753541510458159e-05	-8.206456e-10
2.981961270345576e-05	-8.206454e-10
3.265092681703998e-05	-8.206453e-10
3.621665888075913e-05	-8.206451e-10
3.964050893709307e-05	-8.206448e-10
4.250001013443502e-05	-8.206447e-10
4.589535712497348e-05	-8.206444e-10
4.981047841384479e-05	-8.206442e-10
5.461396673025353e-05	-8.206439e-10
6.186445014351047e-05	-8.206434e-10
6.979171191970300e-05	-8.206429e-10
7.796041825106492e-05	-8.206424e-10
8.685705192596235e-05	-8.206418e-10
9.966724834931981e-05	-8.206411e-10
1.113994737243093e-04	-8.206403e-10
1.208794229720632e-04	-8.206397e-10
1.307555841146373e-04	-8.206391e-10
1.406107369606492e-04	-8.206384e-10
1.519821058987224e-04	-8.206377e-10
1.670911200524160e-04	-8.206367e-10
1.733328091951202e-04	-8.206363e-10
1.786299800071270e-04	-8.206360e-10
1.834419546184864e-04	-8.206357e-10
1.901291462129631e-04	-8.206353e-10
1.962143582520248e-04	-8.206349e-10
2.000226412206144e-04	-8.206346e-10
2.038412118324361e-04	-8.206344e-10
2.088287166300870e-04	-8.206341e-10
2.135290465472043e-04	-8.206337e-10
2.201528296892137e-04	-8.206333e-10
2.225552913092211e-04	-8.206332e-10
2.249577529292286e-04	-8.206330e-10
2.273602145492360e-04	-8.206329e-10
2.297626761692434e-04	-8.206327e-10
2.321651377892508e-04	-8.206325e-10
2.345675994092582e-04	-8.206323e-10
2.369700610292656e-04	-8.206321e-10
2.411351240186420e-04	-8.206317e-10
