Freq.	V(OUT)/V(COMP)
1.32434153519466e+00	(8.34229736827995e+00dB,-4.36211286188844e-01°)
1.32739445772973e+00	(8.34229620739326e+00dB,-4.37216818069821e-01°)
1.33045441797808e+00	(8.34229504114847e+00dB,-4.38224667670974e-01°)
1.33352143216332e+00	(8.34229386952087e+00dB,-4.39234840333326e-01°)
1.33659551654643e+00	(8.34229269248562e+00dB,-4.40247341410202e-01°)
1.33967668742593e+00	(8.34229151001779e+00dB,-4.41262176267254e-01°)
1.34276496113785e+00	(8.34229032209225e+00dB,-4.42279350282486e-01°)
1.34586035405594e+00	(8.34228912868388e+00dB,-4.43298868846294e-01°)
1.34896288259164e+00	(8.34228792976732e+00dB,-4.44320737361478e-01°)
1.35207256319427e+00	(8.34228672531716e+00dB,-4.45344961243286e-01°)
1.35518941235103e+00	(8.34228551530788e+00dB,-4.46371545919432e-01°)
1.35831344658714e+00	(8.34228429971381e+00dB,-4.47400496830131e-01°)
1.36144468246594e+00	(8.34228307850920e+00dB,-4.48431819428126e-01°)
1.36458313658891e+00	(8.34228185166807e+00dB,-4.49465519178708e-01°)
1.36772882559584e+00	(8.34228061916455e+00dB,-4.50501601559769e-01°)
1.37088176616484e+00	(8.34227938097241e+00dB,-4.51540072061799e-01°)
1.37404197501251e+00	(8.34227813706535e+00dB,-4.52580936187934e-01°)
1.37720946889394e+00	(8.34227688741711e+00dB,-4.53624199453993e-01°)
1.38038426460287e+00	(8.34227563200113e+00dB,-4.54669867388481e-01°)
1.38356637897177e+00	(8.34227437079080e+00dB,-4.55717945532642e-01°)
1.38675582887188e+00	(8.34227310375939e+00dB,-4.56768439440479e-01°)
1.38995263121334e+00	(8.34227183088002e+00dB,-4.57821354678780e-01°)
1.39315680294529e+00	(8.34227055212571e+00dB,-4.58876696827154e-01°)
1.39636836105593e+00	(8.34226926746933e+00dB,-4.59934471478056e-01°)
1.39958732257261e+00	(8.34226797688367e+00dB,-4.60994684236818e-01°)
1.40281370456195e+00	(8.34226668034135e+00dB,-4.62057340721682e-01°)
1.40604752412990e+00	(8.34226537781485e+00dB,-4.63122446563819e-01°)
1.40928879842186e+00	(8.34226406927661e+00dB,-4.64190007407375e-01°)
1.41253754462274e+00	(8.34226275469882e+00dB,-4.65260028909484e-01°)
1.41579377995707e+00	(8.34226143405366e+00dB,-4.66332516740311e-01°)
1.41905752168908e+00	(8.34226010731315e+00dB,-4.67407476583075e-01°)
1.42232878712281e+00	(8.34225877444905e+00dB,-4.68484914134077e-01°)
1.42560759360218e+00	(8.34225743543322e+00dB,-4.69564835102740e-01°)
1.42889395851109e+00	(8.34225609023719e+00dB,-4.70647245211627e-01°)
1.43218789927353e+00	(8.34225473883244e+00dB,-4.71732150196479e-01°)
1.43548943335364e+00	(8.34225338119040e+00dB,-4.72819555806247e-01°)
1.43879857825583e+00	(8.34225201728218e+00dB,-4.73909467803109e-01°)
1.44211535152486e+00	(8.34225064707894e+00dB,-4.75001891962523e-01°)
1.44543977074592e+00	(8.34224927055155e+00dB,-4.76096834073230e-01°)
1.44877185354475e+00	(8.34224788767089e+00dB,-4.77194299937311e-01°)
1.45211161758773e+00	(8.34224649840764e+00dB,-4.78294295370201e-01°)
1.45545908058195e+00	(8.34224510273228e+00dB,-4.79396826200720e-01°)
1.45881426027534e+00	(8.34224370061527e+00dB,-4.80501898271115e-01°)
1.46217717445671e+00	(8.34224229202685e+00dB,-4.81609517437077e-01°)
1.46554784095590e+00	(8.34224087693718e+00dB,-4.82719689567787e-01°)
1.46892627764385e+00	(8.34223945531627e+00dB,-4.83832420545932e-01°)
1.47231250243271e+00	(8.34223802713394e+00dB,-4.84947716267744e-01°)
1.47570653327588e+00	(8.34223659235990e+00dB,-4.86065582643029e-01°)
1.47910838816819e+00	(8.34223515096382e+00dB,-4.87186025595206e-01°)
1.48251808514594e+00	(8.34223370291496e+00dB,-4.88309051061315e-01°)
1.48593564228699e+00	(8.34223224818283e+00dB,-4.89434664992087e-01°)
1.48936107771090e+00	(8.34223078673642e+00dB,-4.90562873351931e-01°)
1.49279440957898e+00	(8.34222931854486e+00dB,-4.91693682119004e-01°)
1.49623565609442e+00	(8.34222784357694e+00dB,-4.92827097285215e-01°)
1.49968483550236e+00	(8.34222636180140e+00dB,-4.93963124856272e-01°)
1.50314196609001e+00	(8.34222487318685e+00dB,-4.95101770851709e-01°)
1.50660706618673e+00	(8.34222337770173e+00dB,-4.96243041304919e-01°)
1.51008015416413e+00	(8.34222187531429e+00dB,-4.97386942263181e-01°)
1.51356124843619e+00	(8.34222036599271e+00dB,-4.98533479787698e-01°)
1.51705036745932e+00	(8.34221884970501e+00dB,-4.99682659953629e-01°)
1.52054752973248e+00	(8.34221732641895e+00dB,-5.00834488850110e-01°)
1.52405275379728e+00	(8.34221579610234e+00dB,-5.01988972580306e-01°)
1.52756605823806e+00	(8.34221425872268e+00dB,-5.03146117261425e-01°)
1.53108746168201e+00	(8.34221271424736e+00dB,-5.04305929024757e-01°)
1.53461698279928e+00	(8.34221116264368e+00dB,-5.05468414015710e-01°)
1.53815464030302e+00	(8.34220960387872e+00dB,-5.06633578393837e-01°)
1.54170045294954e+00	(8.34220803791941e+00dB,-5.07801428332868e-01°)
1.54525443953840e+00	(8.34220646473258e+00dB,-5.08971970020748e-01°)
1.54881661891247e+00	(8.34220488428482e+00dB,-5.10145209659665e-01°)
1.55238700995807e+00	(8.34220329654269e+00dB,-5.11321153466087e-01°)
