Freq.	V(OUT)/V(COMP)
1.33967668742593e+00	(2.56289635599287e+01dB,-1.47719647553091e+01°)
1.34276496113785e+00	(2.56276605664268e+01dB,-1.48045237318555e+01°)
1.34586035405594e+00	(2.56263519521067e+01dB,-1.48371479539970e+01°)
1.34896288259164e+00	(2.56250376944250e+01dB,-1.48698375100870e+01°)
1.35207256319427e+00	(2.56237177707659e+01dB,-1.49025924883205e+01°)
1.35518941235103e+00	(2.56223921584320e+01dB,-1.49354129767181e+01°)
1.35831344658714e+00	(2.56210608346544e+01dB,-1.49682990631400e+01°)
1.36144468246594e+00	(2.56197237765878e+01dB,-1.50012508352765e+01°)
1.36458313658891e+00	(2.56183809613098e+01dB,-1.50342683806434e+01°)
1.36772882559584e+00	(2.56170323658220e+01dB,-1.50673517865835e+01°)
1.37088176616484e+00	(2.56156779670495e+01dB,-1.51005011402622e+01°)
1.37404197501251e+00	(2.56143177418395e+01dB,-1.51337165286635e+01°)
1.37720946889394e+00	(2.56129516669653e+01dB,-1.51669980385951e+01°)
1.38038426460287e+00	(2.56115797191224e+01dB,-1.52003457566785e+01°)
1.38356637897177e+00	(2.56102018749267e+01dB,-1.52337597693448e+01°)
1.38675582887188e+00	(2.56088181109217e+01dB,-1.52672401628447e+01°)
1.38995263121334e+00	(2.56074284035704e+01dB,-1.53007870232316e+01°)
1.39315680294529e+00	(2.56060327292587e+01dB,-1.53344004363663e+01°)
1.39636836105593e+00	(2.56046310642982e+01dB,-1.53680804879188e+01°)
1.39958732257261e+00	(2.56032233849191e+01dB,-1.54018272633541e+01°)
1.40281370456195e+00	(2.56018096672768e+01dB,-1.54356408479415e+01°)
1.40604752412990e+00	(2.56003898874476e+01dB,-1.54695213267445e+01°)
1.40928879842186e+00	(2.55989640214304e+01dB,-1.55034687846221e+01°)
1.41253754462274e+00	(2.55975320451458e+01dB,-1.55374833062240e+01°)
1.41579377995707e+00	(2.55960939344360e+01dB,-1.55715649759888e+01°)
1.41905752168908e+00	(2.55946496650706e+01dB,-1.56057138781523e+01°)
1.42232878712281e+00	(2.55931992127300e+01dB,-1.56399300967144e+01°)
1.42560759360218e+00	(2.55917425530263e+01dB,-1.56742137154754e+01°)
1.42889395851109e+00	(2.55902796614878e+01dB,-1.57085648180048e+01°)
1.43218789927353e+00	(2.55888105135671e+01dB,-1.57429834876540e+01°)
1.43548943335364e+00	(2.55873350846380e+01dB,-1.57774698075488e+01°)
1.43879857825583e+00	(2.55858533499918e+01dB,-1.58120238605790e+01°)
1.44211535152486e+00	(2.55843652848466e+01dB,-1.58466457294142e+01°)
1.44543977074592e+00	(2.55828708643365e+01dB,-1.58813354964808e+01°)
1.44877185354475e+00	(2.55813700635214e+01dB,-1.59160932439780e+01°)
1.45211161758773e+00	(2.55798628573786e+01dB,-1.59509190538597e+01°)
1.45545908058195e+00	(2.55783492208064e+01dB,-1.59858130078381e+01°)
1.45881426027534e+00	(2.55768291286264e+01dB,-1.60207751873869e+01°)
1.46217717445671e+00	(2.55753025555783e+01dB,-1.60558056737275e+01°)
1.46554784095590e+00	(2.55737694763230e+01dB,-1.60909045478338e+01°)
1.46892627764385e+00	(2.55722298654446e+01dB,-1.61260718904318e+01°)
1.47231250243271e+00	(2.55706836974432e+01dB,-1.61613077819849e+01°)
1.47570653327588e+00	(2.55691309467417e+01dB,-1.61966123027035e+01°)
1.47910838816819e+00	(2.55675715876830e+01dB,-1.62319855325369e+01°)
1.48251808514594e+00	(2.55660055945292e+01dB,-1.62674275511702e+01°)
1.48593564228699e+00	(2.55644329414665e+01dB,-1.63029384380297e+01°)
1.48936107771090e+00	(2.55628536025953e+01dB,-1.63385182722622e+01°)
1.49279440957898e+00	(2.55612675519381e+01dB,-1.63741671327476e+01°)
1.49623565609442e+00	(2.55596747634398e+01dB,-1.64098850980963e+01°)
1.49968483550236e+00	(2.55580752109630e+01dB,-1.64456722466373e+01°)
1.50314196609001e+00	(2.55564688682894e+01dB,-1.64815286564193e+01°)
1.50660706618673e+00	(2.55548557091221e+01dB,-1.65174544052118e+01°)
