Freq.	V(out)/V(inj)
1.09647819614318e+00	(1.22254630874201e+02dB,2.18439917813866e+01°)
1.09900583943252e+00	(1.22217996215596e+02dB,2.17790372115884e+01°)
1.10153930954141e+00	(1.22181344009368e+02dB,2.17141366172060e+01°)
1.10407861990207e+00	(1.22144674284816e+02dB,2.16492900538621e+01°)
1.10662378397766e+00	(1.22107987071189e+02dB,2.15844975762205e+01°)
1.10917481526240e+00	(1.22071282397687e+02dB,2.15197592380284e+01°)
1.11173172728159e+00	(1.22034560293447e+02dB,2.14550750920983e+01°)
1.11429453359173e+00	(1.21997820787554e+02dB,2.13904451903305e+01°)
1.11686324778056e+00	(1.21961063909039e+02dB,2.13258695837194e+01°)
1.11943788346715e+00	(1.21924289686869e+02dB,2.12613483223102e+01°)
1.12201845430196e+00	(1.21887498149965e+02dB,2.11968814552982e+01°)
1.12460497396692e+00	(1.21850689327172e+02dB,2.11324690309361e+01°)
1.12719745617551e+00	(1.21813863247288e+02dB,2.10681110965994e+01°)
1.12979591467279e+00	(1.21777019939048e+02dB,2.10038076987526e+01°)
1.13240036323555e+00	(1.21740159431119e+02dB,2.09395588829900e+01°)
1.13501081567231e+00	(1.21703281752116e+02dB,2.08753646940149e+01°)
1.13762728582343e+00	(1.21666386930576e+02dB,2.08112251756531e+01°)
1.14024978756117e+00	(1.21629474994992e+02dB,2.07471403708451e+01°)
1.14287833478977e+00	(1.21592545973775e+02dB,2.06831103216636e+01°)
1.14551294144553e+00	(1.21555599895280e+02dB,2.06191350693617e+01°)
1.14815362149688e+00	(1.21518636787790e+02dB,2.05552146542701e+01°)
1.15080038894443e+00	(1.21481656679526e+02dB,2.04913491158914e+01°)
1.15345325782109e+00	(1.21444659598638e+02dB,2.04275384928758e+01°)
1.15611224219209e+00	(1.21407645573205e+02dB,2.03637828230412e+01°)
1.15877735615512e+00	(1.21370614631245e+02dB,2.03000821433497e+01°)
1.16144861384034e+00	(1.21333566800694e+02dB,2.02364364899085e+01°)
1.16412602941049e+00	(1.21296502109430e+02dB,2.01728458980551e+01°)
1.16680961706096e+00	(1.21259420585249e+02dB,2.01093104022336e+01°)
1.16949939101987e+00	(1.21222322255879e+02dB,2.00458300361268e+01°)
1.17219536554813e+00	(1.21185207148977e+02dB,1.99824048325418e+01°)
1.17489755493953e+00	(1.21148075292123e+02dB,1.99190348235340e+01°)
1.17760597352080e+00	(1.21110926712818e+02dB,1.98557200402960e+01°)
1.18032063565173e+00	(1.21073761438500e+02dB,1.97924605132809e+01°)
1.18304155572516e+00	(1.21036579496518e+02dB,1.97292562720897e+01°)
1.18576874816716e+00	(1.20999380914153e+02dB,1.96661073455639e+01°)
1.18850222743701e+00	(1.20962165718603e+02dB,1.96030137617749e+01°)
1.19124200802737e+00	(1.20924933936995e+02dB,1.95399755479672e+01°)
1.19398810446427e+00	(1.20887685596373e+02dB,1.94769927306596e+01°)
1.19674053130724e+00	(1.20850420723694e+02dB,1.94140653355631e+01°)
1.19949930314937e+00	(1.20813139345850e+02dB,1.93511933876522e+01°)
1.20226443461741e+00	(1.20775841489641e+02dB,1.92883769111338e+01°)
1.20503594037179e+00	(1.20738527181791e+02dB,1.92256159294427e+01°)
1.20781383510677e+00	(1.20701196448936e+02dB,1.91629104652983e+01°)
1.21059813355048e+00	(1.20663849317636e+02dB,1.91002605406596e+01°)
1.21338885046497e+00	(1.20626485814364e+02dB,1.90376661767359e+01°)
1.21618600064636e+00	(1.20589105965511e+02dB,1.89751273940331e+01°)
1.21898959892486e+00	(1.20551709797382e+02dB,1.89126442123194e+01°)
1.22179966016487e+00	(1.20514297336195e+02dB,1.88502166506196e+01°)
1.22461619926504e+00	(1.20476868608081e+02dB,1.87878447272705e+01°)
1.22743923115840e+00	(1.20439423639090e+02dB,1.87255284598846e+01°)
1.23026877081238e+00	(1.20401962455185e+02dB,1.86632678653778e+01°)
1.23310483322890e+00	(1.20364485082233e+02dB,1.86010629599643e+01°)
1.23594743344450e+00	(1.20326991546019e+02dB,1.85389137591673e+01°)
1.23879658653036e+00	(1.20289481872241e+02dB,1.84768202778031e+01°)
1.24165230759240e+00	(1.20251956086497e+02dB,1.84147825300313e+01°)
1.24451461177138e+00	(1.20214414214309e+02dB,1.83528005293046e+01°)
1.24738351424294e+00	(1.20176856281100e+02dB,1.82908742884460e+01°)
1.25025903021771e+00	(1.20139282312198e+02dB,1.82290038195714e+01°)
1.25314117494141e+00	(1.20101692332851e+02dB,1.81671891341638e+01°)
1.25602996369487e+00	(1.20064086368202e+02dB,1.81054302430171e+01°)
1.25892541179416e+00	(1.20026464443310e+02dB,1.80437271563437e+01°)
1.26182753459066e+00	(1.19988826583137e+02dB,1.79820798836286e+01°)
1.26473634747114e+00	(1.19951172812549e+02dB,1.79204884337726e+01°)
1.26765186585784e+00	(1.19913503156318e+02dB,1.78589528150372e+01°)
1.27057410520853e+00	(1.19875817639126e+02dB,1.77974730350435e+01°)
1.27350308101665e+00	(1.19838116285556e+02dB,1.77360491008073e+01°)
1.27643880881134e+00	(1.19800399120089e+02dB,1.76746810187232e+01°)
1.27938130415752e+00	(1.19762666167118e+02dB,1.76133687945661e+01°)
1.28233058265601e+00	(1.19724917450940e+02dB,1.75521124335337e+01°)
1.28528665994361e+00	(1.19687152995743e+02dB,1.74909119402026e+01°)
1.28824955169313e+00	(1.19649372825622e+02dB,1.74297673185549e+01°)
1.29121927361353e+00	(1.19611576964581e+02dB,1.73686785720214e+01°)
1.29419584144998e+00	(1.19573765436517e+02dB,1.73076457034075e+01°)
1.29717927098395e+00	(1.19535938265228e+02dB,1.72466687149956e+01°)
1.30016957803328e+00	(1.19498095474412e+02dB,1.71857476084378e+01°)
1.30316677845229e+00	(1.19460237087667e+02dB,1.71248823848712e+01°)
1.30617088813183e+00	(1.19422363128490e+02dB,1.70640730448752e+01°)
1.30918192299940e+00	(1.19384473620281e+02dB,1.70033195884568e+01°)
1.31219989901919e+00	(1.19346568586328e+02dB,1.69426220150916e+01°)
1.31522483219223e+00	(1.19308648049825e+02dB,1.68819803237084e+01°)
