Freq.	Ix(x4:e)/Ix(x4:a)
1.16680961706096e+00	(6.62767977581400e+00dB,-1.79983832524059e+02°)
1.16949939101987e+00	(6.62768016430365e+00dB,-1.79983880141966e+02°)
1.17219536554813e+00	(6.62768055101235e+00dB,-1.79983927675117e+02°)
1.17489755493953e+00	(6.62768093594826e+00dB,-1.79983975123760e+02°)
1.17760597352080e+00	(6.62768131911949e+00dB,-1.79984022488140e+02°)
1.18032063565173e+00	(6.62768170053413e+00dB,-1.79984069768506e+02°)
1.18304155572516e+00	(6.62768208020023e+00dB,-1.79984116965101e+02°)
1.18576874816716e+00	(6.62768245812579e+00dB,-1.79984164078173e+02°)
1.18850222743701e+00	(6.62768283431879e+00dB,-1.79984211107966e+02°)
1.19124200802737e+00	(6.62768320878715e+00dB,-1.79984258054724e+02°)
1.19398810446427e+00	(6.62768358153880e+00dB,-1.79984304918693e+02°)
1.19674053130724e+00	(6.62768395258157e+00dB,-1.79984351700115e+02°)
1.19949930314937e+00	(6.62768432192331e+00dB,-1.79984398399234e+02°)
1.20226443461741e+00	(6.62768468957179e+00dB,-1.79984445016294e+02°)
1.20503594037179e+00	(6.62768505553480e+00dB,-1.79984491551537e+02°)
1.20781383510677e+00	(6.62768541982004e+00dB,-1.79984538005205e+02°)
1.21059813355048e+00	(6.62768578243519e+00dB,-1.79984584377540e+02°)
1.21338885046497e+00	(6.62768614338791e+00dB,-1.79984630668783e+02°)
1.21618600064636e+00	(6.62768650268582e+00dB,-1.79984676879176e+02°)
1.21898959892486e+00	(6.62768686033649e+00dB,-1.79984723008959e+02°)
1.22179966016487e+00	(6.62768721634748e+00dB,-1.79984769058372e+02°)
1.22461619926504e+00	(6.62768757072630e+00dB,-1.79984815027656e+02°)
1.22743923115840e+00	(6.62768792348041e+00dB,-1.79984860917049e+02°)
1.23026877081238e+00	(6.62768827461728e+00dB,-1.79984906726791e+02°)
1.23310483322890e+00	(6.62768862414431e+00dB,-1.79984952457120e+02°)
1.23594743344450e+00	(6.62768897206886e+00dB,-1.79984998108275e+02°)
1.23879658653036e+00	(6.62768931839829e+00dB,-1.79985043680493e+02°)
1.24165230759240e+00	(6.62768966313991e+00dB,-1.79985089174012e+02°)
1.24451461177138e+00	(6.62769000630099e+00dB,-1.79985134589070e+02°)
1.24738351424294e+00	(6.62769034788877e+00dB,-1.79985179925902e+02°)
1.25025903021771e+00	(6.62769068791048e+00dB,-1.79985225184745e+02°)
1.25314117494141e+00	(6.62769102637325e+00dB,-1.79985270365835e+02°)
1.25602996369487e+00	(6.62769136328427e+00dB,-1.79985315469408e+02°)
1.25892541179416e+00	(6.62769169865064e+00dB,-1.79985360495699e+02°)
1.26182753459066e+00	(6.62769203247942e+00dB,-1.79985405444942e+02°)
1.26473634747114e+00	(6.62769236477767e+00dB,-1.79985450317373e+02°)
1.26765186585784e+00	(6.62769269555241e+00dB,-1.79985495113224e+02°)
1.27057410520853e+00	(6.62769302481061e+00dB,-1.79985539832730e+02°)
1.27350308101665e+00	(6.62769335255923e+00dB,-1.79985584476124e+02°)
1.27643880881134e+00	(6.62769367880518e+00dB,-1.79985629043638e+02°)
1.27938130415752e+00	(6.62769400355536e+00dB,-1.79985673535506e+02°)
