Freq.	V(COMP)/V(OPTO_OUT)
1.34276496113785e+00	(4.75128379438292e+01dB,9.18277692859343e+01°)
1.34586035405594e+00	(4.74928516468616e+01dB,9.18302395334016e+01°)
1.34896288259164e+00	(4.74728654050980e+01dB,9.18327194711653e+01°)
1.35207256319427e+00	(4.74528792188295e+01dB,9.18352091122991e+01°)
1.35518941235103e+00	(4.74328930883468e+01dB,9.18377084698957e+01°)
1.35831344658714e+00	(4.74129070139462e+01dB,9.18402175571357e+01°)
1.36144468246594e+00	(4.73929209959220e+01dB,9.18427363872228e+01°)
1.36458313658891e+00	(4.73729350345683e+01dB,9.18452649734113e+01°)
1.36772882559584e+00	(4.73529491301843e+01dB,9.18478033290209e+01°)
1.37088176616484e+00	(4.73329632830672e+01dB,9.18503514674187e+01°)
1.37404197501251e+00	(4.73129774935173e+01dB,9.18529094020173e+01°)
1.37720946889394e+00	(4.72929917618353e+01dB,9.18554771462750e+01°)
1.38038426460287e+00	(4.72730060883221e+01dB,9.18580547137262e+01°)
1.38356637897177e+00	(4.72530204732825e+01dB,9.18606421179248e+01°)
1.38675582887188e+00	(4.72330349170202e+01dB,9.18632393725049e+01°)
1.38995263121334e+00	(4.72130494198407e+01dB,9.18658464911283e+01°)
1.39315680294529e+00	(4.71930639820519e+01dB,9.18684634875258e+01°)
1.39636836105593e+00	(4.71730786039612e+01dB,9.18710903754704e+01°)
1.39958732257261e+00	(4.71530932858786e+01dB,9.18737271687895e+01°)
1.40281370456195e+00	(4.71331080281152e+01dB,9.18763738813576e+01°)
1.40604752412990e+00	(4.71131228309812e+01dB,9.18790305271133e+01°)
1.40928879842186e+00	(4.70931376947910e+01dB,9.18816971200432e+01°)
1.41253754462274e+00	(4.70731526198615e+01dB,9.18843736741768e+01°)
1.41579377995707e+00	(4.70531676065036e+01dB,9.18870602035939e+01°)
1.41905752168908e+00	(4.70331826550387e+01dB,9.18897567224415e+01°)
1.42232878712281e+00	(4.70131977657834e+01dB,9.18924632449231e+01°)
1.42560759360218e+00	(4.69932129390588e+01dB,9.18951797852525e+01°)
1.42889395851109e+00	(4.69732281751849e+01dB,9.18979063577503e+01°)
1.43218789927353e+00	(4.69532434744847e+01dB,9.19006429767637e+01°)
1.43548943335364e+00	(4.69332588372811e+01dB,9.19033896566849e+01°)
1.43879857825583e+00	(4.69132742639010e+01dB,9.19061464119737e+01°)
1.44211535152486e+00	(4.68932897546694e+01dB,9.19089132571267e+01°)
1.44543977074592e+00	(4.68733053099134e+01dB,9.19116902067133e+01°)
1.44877185354475e+00	(4.68533209299642e+01dB,9.19144772753431e+01°)
1.45211161758773e+00	(4.68333366151521e+01dB,9.19172744776838e+01°)
1.45545908058195e+00	(4.68133523658074e+01dB,9.19200818284451e+01°)
1.45881426027534e+00	(4.67933681822642e+01dB,9.19228993423995e+01°)
