Frequency (Hz),"Trace 1: Gain: Real ","Trace 1: Gain: Imaginary ",Trace 1: Gain: Magnitude (dB),"Trace 2: Gain: Real ","Trace 2: Gain: Imaginary ",Trace 2: Gain: Phase (°)
10,-2926.37283131162,4004.474670278975,73.90925844399162,-2926.37283131162,4004.474670278975,126.15842754054944
10.351422,-3345.671101703586,3982.233193779658,74.32194503595635,-3345.671101703586,3982.233193779658,130.0352799632126
10.715193,-3972.115456641882,4756.118556731521,75.84312731698711,-3972.115456641882,4756.118556731521,129.86725030063613
11.091748,-3328.276461279291,4480.0367265293025,74.93432303104603,-3328.276461279291,4480.0367265293025,126.60912831119356
11.481536,-3683.6960045685432,5269.946167292714,76.16390945423771,-3683.6960045685432,5269.946167292714,124.9535751257785
11.885022,-3503.1275501236723,5121.103253080149,75.85433668860819,-3503.1275501236723,5121.103253080149,124.37436056858164
12.302688,-3232.7575027331177,5109.690737845213,75.63002154232721,-3232.7575027331177,5109.690737845213,122.32038539114937
12.735031,-4120.607622313516,6628.854846731124,77.84767905769907,-4120.607622313516,6628.854846731124,121.86577896068016
13.182567,-3905.8658515497127,7882.013660937608,78.88639542772344,-3905.8658515497127,7882.013660937608,116.36033006406008
13.645831,-1530.6940514785324,6983.67212430824,77.0854582145716,-1530.6940514785324,6983.67212430824,102.36269742500748
14.125375,-1310.286959103868,8083.363670454337,78.26448136377911,-1310.286959103868,8083.363670454337,99.20737454768351
14.621772,-806.246601841477,10523.725724239226,80.4688065568024,-806.246601841477,10523.725724239226,94.38100222378178
15.135612,1010.9829682838191,8747.836057777187,78.89563445782676,1010.9829682838191,8747.836057777187,83.40760209525085
15.667511,1891.1845419920976,10870.975682824597,80.854857037901,1891.1845419920976,10870.975682824597,80.13122553575708
16.218101,3169.9779871866954,7765.292978706742,78.47255060723657,3169.9779871866954,7765.292978706742,67.79354479094202
16.78804,5137.560193691253,7542.311464931175,79.20545863434357,5137.560193691253,7542.311464931175,55.73867040145735
17.378008,4481.062034119685,6326.816405510311,77.78936054948801,4481.062034119685,6326.816405510311,54.69139730999966
17.988709,5119.435597508073,5269.967348714848,77.32242347170245,5119.435597508073,5269.967348714848,45.83009876598519
18.620871,4352.966077660618,3710.030926219609,75.14715636074878,4352.966077660618,3710.030926219609,40.44093932501419
19.275249,4082.455045348567,2765.8112472444973,73.85894832571425,4082.455045348567,2765.8112472444973,34.117139383270924
19.952623,4362.018706490516,2574.1627724046234,74.09146984330754,4362.018706490516,2574.1627724046234,30.54617521018506
20.653802,3619.3814967900357,2092.770615003525,72.42531770016588,3619.3814967900357,2092.770615003525,30.037025839157838
21.379621,3500.0996375533186,1584.1681675759733,71.69094780127887,3500.0996375533186,1584.1681675759733,24.351820938376388
22.130947,3134.9480845442718,1365.2519839354454,70.67881840995774,3134.9480845442718,1365.2519839354454,23.53285026351449
22.908677,2947.4840729521775,1152.7263786260817,70.00713414009664,2947.4840729521775,1152.7263786260817,21.35988393062765
23.713737,2509.4409563059376,1009.2070099994144,68.64261390959862,2509.4409563059376,1009.2070099994144,21.908219803971058
24.547089,2217.9232406447927,919.4996624698335,67.60773933527716,2217.9232406447927,919.4996624698335,22.517765003126907
25.409727,2165.4776680575237,738.763282056954,67.18922054954169,2165.4776680575237,738.763282056954,18.837325673049627
26.30268,1907.0600399077275,686.7542309142103,66.13684281723124,1907.0600399077275,686.7542309142103,19.804531127997453
27.227013,1793.5339321206202,563.0586843117017,65.48241849364449,1793.5339321206202,563.0586843117017,17.42906166904088
28.183829,1626.4732641465398,546.9575094733951,64.69023032927572,1626.4732641465398,546.9575094733951,18.586986745950046
29.17427,1482.008099774086,526.401528639032,63.933025346720086,1482.008099774086,526.401528639032,19.554772328949674
30.199517,1356.7483544726624,427.8364818966965,63.06169770251426,1356.7483544726624,427.8364818966965,17.502126783513308
31.260794,1242.8272553119723,409.5436937851497,62.335914281572585,1242.8272553119723,409.5436937851497,18.238387040046092
32.359366,1158.3537942940952,367.77477907399486,61.693927861947984,1158.3537942940952,367.77477907399486,17.614528691831268
