Freq.	V(COMP)/V(OPTO_OUT)
1.49623565609442e+00	(4.65643739351555e+01dB,9.32263307819455e+01°)
1.49968483550236e+00	(4.65444056427415e+01dB,9.32263483581692e+01°)
1.50314196609001e+00	(4.65244373513874e+01dB,9.32263830040194e+01°)
1.50660706618673e+00	(4.65044690617640e+01dB,9.32264347196764e+01°)
1.51008015416413e+00	(4.64845007745423e+01dB,9.32265035054089e+01°)
1.51356124843619e+00	(4.64645324903933e+01dB,9.32265893615746e+01°)
1.51705036745932e+00	(4.64445642099879e+01dB,9.32266922886201e+01°)
1.52054752973248e+00	(4.64245959339972e+01dB,9.32268122870805e+01°)
1.52405275379728e+00	(4.64046276630925e+01dB,9.32269493575799e+01°)
1.52756605823806e+00	(4.63846593979450e+01dB,9.32271035008311e+01°)
1.53108746168201e+00	(4.63646911392262e+01dB,9.32272747176357e+01°)
1.53461698279928e+00	(4.63447228876075e+01dB,9.32274630088842e+01°)
1.53815464030302e+00	(4.63247546437608e+01dB,9.32276683755557e+01°)
1.54170045294954e+00	(4.63047864083578e+01dB,9.32278908187184e+01°)
1.54525443953840e+00	(4.62848181820706e+01dB,9.32281303395289e+01°)
1.54881661891247e+00	(4.62648499655715e+01dB,9.32283869392330e+01°)
1.55238700995807e+00	(4.62448817595328e+01dB,9.32286606191652e+01°)
1.55596563160506e+00	(4.62249135646273e+01dB,9.32289513807487e+01°)
1.55955250282694e+00	(4.62049453815278e+01dB,9.32292592254958e+01°)
1.56314764264094e+00	(4.61849772109075e+01dB,9.32295841550073e+01°)
1.56675107010813e+00	(4.61650090534397e+01dB,9.32299261709730e+01°)
1.57036280433354e+00	(4.61450409097982e+01dB,9.32302852751718e+01°)
1.57398286446620e+00	(4.61250727806570e+01dB,9.32306614694710e+01°)
1.57761126969933e+00	(4.61051046666902e+01dB,9.32310547558271e+01°)
1.58124803927037e+00	(4.60851365685725e+01dB,9.32314651362854e+01°)
1.58489319246110e+00	(4.60651684869788e+01dB,9.32318926129801e+01°)
1.58854674859776e+00	(4.60452004225845e+01dB,9.32323371881342e+01°)
1.59220872705115e+00	(4.60252323760650e+01dB,9.32327988640597e+01°)
1.59587914723672e+00	(4.60052643480965e+01dB,9.32332776431576e+01°)
1.59955802861465e+00	(4.59852963393553e+01dB,9.32337735279176e+01°)
1.60324539069002e+00	(4.59653283505182e+01dB,9.32342865209185e+01°)
1.60694125301286e+00	(4.59453603822625e+01dB,9.32348166248280e+01°)
1.61064563517825e+00	(4.59253924352658e+01dB,9.32353638424028e+01°)
1.61435855682647e+00	(4.59054245102062e+01dB,9.32359281764886e+01°)
1.61808003764305e+00	(4.58854566077623e+01dB,9.32365096300199e+01°)
1.62181009735891e+00	(4.58654887286131e+01dB,9.32371082060204e+01°)
1.62554875575047e+00	(4.58455208734381e+01dB,9.32377239076027e+01°)
1.62929603263970e+00	(4.58255530429174e+01dB,9.32383567379686e+01°)
1.63305194789432e+00	(4.58055852377315e+01dB,9.32390067004088e+01°)
1.63681652142779e+00	(4.57856174585614e+01dB,9.32396737983029e+01°)
1.64058977319952e+00	(4.57656497060889e+01dB,9.32403580351198e+01°)
1.64437172321491e+00	(4.57456819809961e+01dB,9.32410594144175e+01°)
1.64816239152549e+00	(4.57257142839657e+01dB,9.32417779398430e+01°)
1.65196179822900e+00	(4.57057466156811e+01dB,9.32425136151323e+01°)
1.65576996346951e+00	(4.56857789768263e+01dB,9.32432664441109e+01°)
1.65958690743754e+00	(4.56658113680858e+01dB,9.32440364306929e+01°)
1.66341265037015e+00	(4.56458437901448e+01dB,9.32448235788822e+01°)
1.66724721255104e+00	(4.56258762436892e+01dB,9.32456278927713e+01°)
1.67109061431069e+00	(4.56059087294055e+01dB,9.32464493765423e+01°)
1.67494287602642e+00	(4.55859412479809e+01dB,9.32472880344664e+01°)
1.67880401812254e+00	(4.55659738001033e+01dB,9.32481438709040e+01°)
1.68267406107045e+00	(4.55460063864612e+01dB,9.32490168903047e+01°)
1.68655302538872e+00	(4.55260390077440e+01dB,9.32499070972076e+01°)
1.69044093164324e+00	(4.55060716646416e+01dB,9.32508144962407e+01°)
1.69433780044731e+00	(4.54861043578449e+01dB,9.32517390921219e+01°)
1.69824365246172e+00	(4.54661370880454e+01dB,9.32526808896578e+01°)
1.70215850839493e+00	(4.54461698559355e+01dB,9.32536398937449e+01°)
1.70608238900310e+00	(4.54262026622082e+01dB,9.32546161093687e+01°)
1.71001531509027e+00	(4.54062355075574e+01dB,9.32556095416042e+01°)
1.71395730750840e+00	(4.53862683926780e+01dB,9.32566201956160e+01°)
1.71790838715757e+00	(4.53663013182654e+01dB,9.32576480766580e+01°)
1.72186857498599e+00	(4.53463342850162e+01dB,9.32586931900734e+01°)
1.72583789199018e+00	(4.53263672936275e+01dB,9.32597555412954e+01°)
1.72981635921508e+00	(4.53064003447977e+01dB,9.32608351358461e+01°)
1.73380399775412e+00	(4.52864334392256e+01dB,9.32619319793375e+01°)
1.73780082874935e+00	(4.52664665776113e+01dB,9.32630460774711e+01°)
1.74180687339159e+00	(4.52464997606557e+01dB,9.32641774360380e+01°)
1.74582215292048e+00	(4.52265329890607e+01dB,9.32653260609189e+01°)
1.74984668862463e+00	(4.52065662635289e+01dB,9.32664919580842e+01°)
1.75388050184174e+00	(4.51865995847642e+01dB,9.32676751335937e+01°)
1.75792361395867e+00	(4.51666329534713e+01dB,9.32688755935973e+01°)
1.76197604641161e+00	(4.51466663703559e+01dB,9.32700933443343e+01°)
1.76603782068614e+00	(4.51266998361248e+01dB,9.32713283921339e+01°)
1.77010895831740e+00	(4.51067333514857e+01dB,9.32725807434151e+01°)
1.77418948089014e+00	(4.50867669171474e+01dB,9.32738504046864e+01°)
1.77827941003890e+00	(4.50668005338198e+01dB,9.32751373825467e+01°)
1.78237876744807e+00	(4.50468342022139e+01dB,9.32764416836841e+01°)
1.78648757485203e+00	(4.50268679230416e+01dB,9.32777633148771e+01°)
1.79060585403527e+00	(4.50069016970161e+01dB,9.32791022829939e+01°)
1.79473362683250e+00	(4.49869355248516e+01dB,9.32804585949926e+01°)
1.79887091512876e+00	(4.49669694072634e+01dB,9.32818322579214e+01°)
1.80301774085954e+00	(4.49470033449682e+01dB,9.32832232789185e+01°)
1.80717412601090e+00	(4.49270373386836e+01dB,9.32846316652121e+01°)
1.81134009261958e+00	(4.49070713891283e+01dB,9.32860574241204e+01°)
1.81551566277311e+00	(4.48871054970225e+01dB,9.32875005630518e+01°)
1.81970085860996e+00	(4.48671396630875e+01dB,9.32889610895048e+01°)
1.82389570231961e+00	(4.48471738880456e+01dB,9.32904390110680e+01°)
1.82810021614272e+00	(4.48272081726206e+01dB,9.32919343354204e+01°)
1.83231442237119e+00	(4.48072425175374e+01dB,9.32934470703311e+01°)
1.83653834334832e+00	(4.47872769235223e+01dB,9.32949772236593e+01°)
1.84077200146893e+00	(4.47673113913028e+01dB,9.32965248033548e+01°)
1.84501541917945e+00	(4.47473459216076e+01dB,9.32980898174577e+01°)
1.84926861897805e+00	(4.47273805151669e+01dB,9.32996722740982e+01°)
1.85353162341478e+00	(4.47074151727121e+01dB,9.33012721814971e+01°)
1.85780445509167e+00	(4.46874498949760e+01dB,9.33028895479656e+01°)
1.86208713666284e+00	(4.46674846826928e+01dB,9.33045243819056e+01°)
1.86637969083464e+00	(4.46475195365979e+01dB,9.33061766918091e+01°)
