Freq.	V(out)/V(inj)
1.10407861990207e+00	(1.08985756435286e+02dB,3.88388620317732e+01°)
1.10662378397766e+00	(1.08951128514539e+02dB,3.87920710655073e+01°)
1.10917481526240e+00	(1.08916484108184e+02dB,3.87453887905692e+01°)
1.11173172728159e+00	(1.08881823261176e+02dB,3.86988154149707e+01°)
1.11429453359173e+00	(1.08847146018542e+02dB,3.86523511456735e+01°)
1.11686324778056e+00	(1.08812452425380e+02dB,3.86059961886044e+01°)
1.11943788346715e+00	(1.08777742526855e+02dB,3.85597507486505e+01°)
1.12201845430196e+00	(1.08743016368199e+02dB,3.85136150296551e+01°)
1.12460497396692e+00	(1.08708273994714e+02dB,3.84675892344312e+01°)
1.12719745617551e+00	(1.08673515451765e+02dB,3.84216735647443e+01°)
1.12979591467279e+00	(1.08638740784783e+02dB,3.83758682213309e+01°)
1.13240036323555e+00	(1.08603950039263e+02dB,3.83301734038870e+01°)
1.13501081567231e+00	(1.08569143260763e+02dB,3.82845893110749e+01°)
1.13762728582343e+00	(1.08534320494902e+02dB,3.82391161405223e+01°)
1.14024978756117e+00	(1.08499481787364e+02dB,3.81937540888260e+01°)
1.14287833478977e+00	(1.08464627183889e+02dB,3.81485033515414e+01°)
1.14551294144553e+00	(1.08429756730278e+02dB,3.81033641232045e+01°)
1.14815362149688e+00	(1.08394870472389e+02dB,3.80583365973136e+01°)
1.15080038894443e+00	(1.08359968456142e+02dB,3.80134209663406e+01°)
1.15345325782109e+00	(1.08325050727507e+02dB,3.79686174217264e+01°)
1.15611224219209e+00	(1.08290117332514e+02dB,3.79239261538873e+01°)
1.15877735615512e+00	(1.08255168317248e+02dB,3.78793473522149e+01°)
1.16144861384034e+00	(1.08220203727846e+02dB,3.78348812050765e+01°)
1.16412602941049e+00	(1.08185223610497e+02dB,3.77905278998096e+01°)
1.16680961706096e+00	(1.08150228011446e+02dB,3.77462876227422e+01°)
1.16949939101987e+00	(1.08115216976986e+02dB,3.77021605591710e+01°)
1.17219536554813e+00	(1.08080190553459e+02dB,3.76581468933794e+01°)
1.17489755493953e+00	(1.08045148787261e+02dB,3.76142468086304e+01°)
1.17760597352080e+00	(1.08010091724832e+02dB,3.75704604871730e+01°)
1.18032063565173e+00	(1.07975019412663e+02dB,3.75267881102447e+01°)
1.18304155572516e+00	(1.07939931897290e+02dB,3.74832298580615e+01°)
1.18576874816716e+00	(1.07904829225294e+02dB,3.74397859098358e+01°)
1.18850222743701e+00	(1.07869711443303e+02dB,3.73964564437701e+01°)
1.19124200802737e+00	(1.07834578597988e+02dB,3.73532416370517e+01°)
1.19398810446427e+00	(1.07799430736064e+02dB,3.73101416658697e+01°)
1.19674053130724e+00	(1.07764267904289e+02dB,3.72671567054040e+01°)
1.19949930314937e+00	(1.07729090149460e+02dB,3.72242869298367e+01°)
1.20226443461741e+00	(1.07693897518417e+02dB,3.71815325123405e+01°)
1.20503594037179e+00	(1.07658690058040e+02dB,3.71388936250974e+01°)
1.20781383510677e+00	(1.07623467815248e+02dB,3.70963704392888e+01°)
1.21059813355048e+00	(1.07588230836997e+02dB,3.70539631250983e+01°)
1.21338885046497e+00	(1.07552979170281e+02dB,3.70116718517207e+01°)
1.21618600064636e+00	(1.07517712862132e+02dB,3.69694967873551e+01°)
1.21898959892486e+00	(1.07482431959616e+02dB,3.69274380992152e+01°)
1.22179966016487e+00	(1.07447136509835e+02dB,3.68854959535229e+01°)
1.22461619926504e+00	(1.07411826559925e+02dB,3.68436705155211e+01°)
1.22743923115840e+00	(1.07376502157056e+02dB,3.68019619494627e+01°)
1.23026877081238e+00	(1.07341163348430e+02dB,3.67603704186222e+01°)
1.23310483322890e+00	(1.07305810181280e+02dB,3.67188960852938e+01°)
1.23594743344450e+00	(1.07270442702871e+02dB,3.66775391108000e+01°)
1.23879658653036e+00	(1.07235060960500e+02dB,3.66362996554818e+01°)
1.24165230759240e+00	(1.07199665001489e+02dB,3.65951778787126e+01°)
1.24451461177138e+00	(1.07164254873194e+02dB,3.65541739388937e+01°)
1.24738351424294e+00	(1.07128830622994e+02dB,3.65132879934591e+01°)
1.25025903021771e+00	(1.07093392298300e+02dB,3.64725201988760e+01°)
1.25314117494141e+00	(1.07057939946545e+02dB,3.64318707106522e+01°)
1.25602996369487e+00	(1.07022473615191e+02dB,3.63913396833312e+01°)
1.25892541179416e+00	(1.06986993351723e+02dB,3.63509272705002e+01°)
1.26182753459066e+00	(1.06951499203651e+02dB,3.63106336247886e+01°)
1.26473634747114e+00	(1.06915991218508e+02dB,3.62704588978722e+01°)
1.26765186585784e+00	(1.06880469443851e+02dB,3.62304032404817e+01°)
1.27057410520853e+00	(1.06844933927257e+02dB,3.61904668023909e+01°)
1.27350308101665e+00	(1.06809384716326e+02dB,3.61506497324326e+01°)
1.27643880881134e+00	(1.06773821858678e+02dB,3.61109521784952e+01°)
1.27938130415752e+00	(1.06738245401952e+02dB,3.60713742875305e+01°)
1.28233058265601e+00	(1.06702655393807e+02dB,3.60319162055419e+01°)
1.28528665994361e+00	(1.06667051881922e+02dB,3.59925780776081e+01°)
1.28824955169313e+00	(1.06631434913990e+02dB,3.59533600478695e+01°)
1.29121927361353e+00	(1.06595804537724e+02dB,3.59142622595373e+01°)
1.29419584144998e+00	(1.06560160800853e+02dB,3.58752848548961e+01°)
1.29717927098395e+00	(1.06524503751120e+02dB,3.58364279753030e+01°)
1.30016957803328e+00	(1.06488833436286e+02dB,3.57976917611966e+01°)
1.30316677845229e+00	(1.06453149904123e+02dB,3.57590763520964e+01°)
1.30617088813183e+00	(1.06417453202420e+02dB,3.57205818866031e+01°)
1.30918192299940e+00	(1.06381743378977e+02dB,3.56822085024051e+01°)
1.31219989901919e+00	(1.06346020481605e+02dB,3.56439563362788e+01°)
1.31522483219223e+00	(1.06310284558130e+02dB,3.56058255240927e+01°)
1.31825673855640e+00	(1.06274535656388e+02dB,3.55678162008153e+01°)
1.32129563418657e+00	(1.06238773824224e+02dB,3.55299285005054e+01°)
1.32434153519466e+00	(1.06202999109494e+02dB,3.54921625563287e+01°)
1.32739445772973e+00	(1.06167211560063e+02dB,3.54545185005509e+01°)
1.33045441797808e+00	(1.06131411223804e+02dB,3.54169964645460e+01°)
1.33352143216332e+00	(1.06095598148600e+02dB,3.53795965787970e+01°)
1.33659551654643e+00	(1.06059772382338e+02dB,3.53423189729021e+01°)
1.33967668742593e+00	(1.06023933972915e+02dB,3.53051637755696e+01°)
1.34276496113785e+00	(1.05988082968232e+02dB,3.52681311146328e+01°)
1.34586035405594e+00	(1.05952219416197e+02dB,3.52312211170425e+01°)
1.34896288259164e+00	(1.05916343364720e+02dB,3.51944339088758e+01°)
1.35207256319427e+00	(1.05880454861720e+02dB,3.51577696153393e+01°)
1.35518941235103e+00	(1.05844553955115e+02dB,3.51212283607669e+01°)
1.35831344658714e+00	(1.05808640692830e+02dB,3.50848102686286e+01°)
1.36144468246594e+00	(1.05772715122790e+02dB,3.50485154615335e+01°)
1.36458313658891e+00	(1.05736777292923e+02dB,3.50123440612271e+01°)
1.36772882559584e+00	(1.05700827251160e+02dB,3.49762961886023e+01°)
1.37088176616484e+00	(1.05664865045430e+02dB,3.49403719636964e+01°)
1.37404197501251e+00	(1.05628890723665e+02dB,3.49045715056965e+01°)
1.37720946889394e+00	(1.05592904333795e+02dB,3.48688949329443e+01°)
1.38038426460287e+00	(1.05556905923751e+02dB,3.48333423629363e+01°)
