Frequency (Hz),"Trace 1: Gain: Real ","Trace 1: Gain: Imaginary ",Trace 1: Gain: Magnitude (dB),"Trace 2: Gain: Real ","Trace 2: Gain: Imaginary ",Trace 2: Gain: Phase (°)
10,-1546.051179920867,2128.367462746146,68.40120046094212,-1546.051179920867,2128.367462746146,125.99474383341006
10.351422,-1397.948771820911,2207.3296957496905,68.34202239592481,-1397.948771820911,2207.3296957496905,122.34694881127903
10.715193,-1328.7862019025438,2150.695883142965,68.05580067344731,-1328.7862019025438,2150.695883142965,121.70943597874844
11.091748,-1199.6995117472454,2176.367896500648,67.90697170975649,-1199.6995117472454,2176.367896500648,118.86528080021822
11.481536,-1148.5369650309212,2093.0698447219247,67.55880839365533,-1148.5369650309212,2093.0698447219247,118.75503964601543
11.885022,-1055.322217721158,2059.0205548784993,67.28619199211734,-1055.322217721158,2059.0205548784993,117.13677446820883
12.302688,-959.4888069602362,2036.5521415210535,67.0485060793937,-959.4888069602362,2036.5521415210535,115.2267154789759
12.735031,-898.1983433036995,2003.5036415911268,66.83117952718132,-898.1983433036995,2003.5036415911268,114.14735219873067
13.182567,-805.751426414617,1921.3760569671747,66.37581913587694,-805.751426414617,1921.3760569671747,112.75130805392187
13.645831,-743.6011758473752,1878.70493018673,66.10923525766421,-743.6011758473752,1878.70493018673,111.5939167384014
14.125375,-699.9020207004025,1818.2579414320835,65.79317597884727,-699.9020207004025,1818.2579414320835,111.05321230959339
14.621772,-593.9538234475364,1771.9397369043365,65.43142828196902,-593.9538234475364,1771.9397369043365,108.53114082794183
15.135612,-576.2756683205438,1712.0218835329727,65.13632056967752,-576.2756683205438,1712.0218835329727,108.60350663495456
15.667511,-531.9423992311455,1664.763025360493,64.84925718629567,-531.9423992311455,1664.763025360493,107.7202615809192
16.218101,-484.15319906490436,1591.6251062355689,64.42115059299002,-484.15319906490436,1591.6251062355689,106.91912971103852
16.78804,-446.06871956335,1551.7144671055344,64.16106894313357,-446.06871956335,1551.7144671055344,106.03826566777477
17.378008,-417.410362201889,1488.8809321063004,63.78579183863444,-417.410362201889,1488.8809321063004,105.66093290223999
17.988709,-366.2056346677931,1448.7162557935628,63.48866425603099,-366.2056346677931,1448.7162557935628,104.18602586478316
18.620871,-336.68671247219373,1375.2234444188923,63.020271766938706,-336.68671247219373,1375.2234444188923,103.75674826568165
19.275249,-322.6561526408572,1322.5943418330855,62.67960438469996,-322.6561526408572,1322.5943418330855,103.70991175075655
19.952623,-300.9654275784955,1282.8542815856053,62.39623588744976,-300.9654275784955,1282.8542815856053,103.20316112319979
20.653802,-268.56360136608254,1232.3527941854181,62.01620992483094,-268.56360136608254,1232.3527941854181,102.29410752619629
21.379621,-258.4779863225502,1204.6762148777896,61.81287693140063,-258.4779863225502,1204.6762148777896,102.10990253947507
22.130947,-234.3483677860545,1145.7792199210767,61.36000111989871,-234.3483677860545,1145.7792199210767,101.55938377583657
22.908677,-228.27380404766953,1108.2173435350076,61.07296348379706,-228.27380404766953,1108.2173435350076,101.6391596468675
23.713737,-220.72734791772902,1060.0828884534758,60.691114781293734,-220.72734791772902,1060.0828884534758,101.76190421915798
24.547089,-200.5769661162061,1031.0923612404297,60.42726121833652,-200.5769661162061,1031.0923612404297,101.00818754942107
25.409727,-198.89076368502833,987.9538250391197,60.06727095114912,-198.89076368502833,987.9538250391197,101.38240700965939
26.30268,-186.91735975454986,957.9252903908579,59.788918670726744,-186.91735975454986,957.9252903908579,101.04123449455342
27.227013,-166.23504882048522,905.8505694663377,59.2849793308848,-166.23504882048522,905.8505694663377,100.3987981242836
28.183829,-158.20608694678418,883.6592024127542,59.06271860809257,-158.20608694678418,883.6592024127542,100.1504196429672
29.17427,-169.5669538394134,859.6422767415938,58.85212921486782,-169.5669538394134,859.6422767415938,101.15851073311896
30.199517,-146.62526582242313,829.1318666295556,58.5062088784018,-146.62526582242313,829.1318666295556,100.02861131410239
31.260794,-153.8747324692323,792.1899482374313,58.13742633029619,-153.8747324692323,792.1899482374313,100.99223642245187
32.359366,-143.89887203125286,769.5415732712452,57.87390413812794,-143.89887203125286,769.5415732712452,100.59158920294678
33.496544,-139.56359694183152,749.9990795016744,57.6490553554452,-139.56359694183152,749.9990795016744,100.54131650506862
34.673685,-129.5192315256922,716.6272258917717,57.24546041451215,-129.5192315256922,716.6272258917717,100.24472905877768
