10	1	0.000435878	-67.2127	0
10	2	8.5304e-006	-101.381	88.846
11.22	1	0.000435968	-67.2109	0
11.22	2	9.51312e-006	-100.434	89.7157
12.59	1	0.000435912	-67.212	0
12.59	2	1.05206e-005	-99.5592	88.3044
14.13	1	0.000435921	-67.2118	0
14.13	2	1.16306e-005	-98.6879	88.9659
15.85	1	0.000435971	-67.2109	0
15.85	2	1.32225e-005	-97.5737	88.3448
17.78	1	0.00043554	-67.2194	0
17.78	2	1.49376e-005	-96.5144	88.2563
19.95	1	0.000435937	-67.2115	0
19.95	2	1.7032e-005	-95.3747	87.9416
22.38	1	0.000436506	-67.2002	0
22.38	2	1.88539e-005	-94.492	87.6768
25.11	1	0.000436972	-67.1909	0
25.11	2	2.17239e-005	-93.2613	86.8289
28.17	1	0.000437494	-67.1806	0
28.17	2	2.37118e-005	-92.5007	86.2994
31.61	1	0.000437264	-67.1851	0
31.61	2	2.6782e-005	-91.4431	85.2122
35.47	1	0.000437526	-67.1799	0
35.47	2	3.00637e-005	-90.4391	85.3882
39.8	1	0.000437945	-67.1716	0
39.8	2	3.29444e-005	-89.6444	85.9934
44.66	1	0.000437959	-67.1713	0
44.66	2	3.81635e-005	-88.367	85.2491
50.11	1	0.000437987	-67.1708	0
50.11	2	4.24332e-005	-87.4459	83.8573
56.22	1	0.000439132	-67.1481	0
56.22	2	4.77042e-005	-86.4289	84.2668
63.08	1	0.000439934	-67.1322	0
63.08	2	5.31911e-005	-85.4832	82.8645
70.78	1	0.000440854	-67.1141	0
70.78	2	5.96668e-005	-84.4853	82.3549
79.42	1	0.000441899	-67.0935	0
79.42	2	6.66507e-005	-83.5239	81.3776
89.11	1	0.000442635	-67.0791	0
89.11	2	7.54898e-005	-82.4422	80.4999
99.98	1	0.000444283	-67.0468	0
99.98	2	8.47068e-005	-81.4416	78.8193
112.2	1	0.000447427	-66.9856	0
112.2	2	9.48295e-005	-80.4611	77.5517
125.9	1	0.000449871	-66.9382	0
