10	1	0.00121959	-58.2757	0
10	2	0.000455641	-66.8275	-17.3528
11.22	1	0.00123375	-58.1754	0
11.22	2	0.000456192	-66.8171	-15.456
12.59	1	0.00124254	-58.1138	0
12.59	2	0.000455944	-66.8218	-13.8428
14.13	1	0.00124975	-58.0635	0
14.13	2	0.000455804	-66.8244	-12.3788
15.85	1	0.00125651	-58.0167	0
15.85	2	0.000455672	-66.827	-11.0655
17.78	1	0.00126157	-57.9818	0
17.78	2	0.000455719	-66.8261	-9.97057
19.95	1	0.00126299	-57.972	0
19.95	2	0.000455774	-66.825	-8.83612
22.38	1	0.00127046	-57.9208	0
22.38	2	0.00045656	-66.81	-7.8651
25.11	1	0.00127436	-57.8942	0
25.11	2	0.000457454	-66.7931	-6.8005
28.17	1	0.0012811	-57.8484	0
28.17	2	0.000457301	-66.796	-6.08421
31.61	1	0.0012768	-57.8775	0
31.61	2	0.000456308	-66.8148	-5.59916
35.47	1	0.00127953	-57.859	0
35.47	2	0.000456774	-66.806	-4.97135
39.8	1	0.0012803	-57.8538	0
39.8	2	0.000457007	-66.8015	-4.44975
44.66	1	0.0012811	-57.8483	0
44.66	2	0.00045703	-66.8011	-3.94172
50.11	1	0.00128291	-57.8361	0
50.11	2	0.000457019	-66.8013	-3.4951
56.22	1	0.00128305	-57.8351	0
56.22	2	0.000456266	-66.8156	-3.14248
63.08	1	0.00128337	-57.8329	0
63.08	2	0.000456554	-66.8102	-2.76663
70.78	1	0.00128362	-57.8313	0
70.78	2	0.000456789	-66.8057	-2.37503
79.42	1	0.00128368	-57.8309	0
79.42	2	0.000456516	-66.8109	-2.0548
89.11	1	0.0012857	-57.8172	0
89.11	2	0.000456434	-66.8124	-1.86182
99.98	1	0.00128658	-57.8113	0
99.98	2	0.000456671	-66.8079	-1.40049
112.2	1	0.00128677	-57.81	0
112.2	2	0.000457195	-66.798	-1.20314
125.9	1	0.00129066	-57.7838	0
125.9	2	0.000458232	-66.7783	-1.08124
141.3	1	0.00129214	-57.7738	0
141.3	2	0.000456375	-66.8136	-0.83548
158.5	1	0.00129232	-57.7726	0
158.5	2	0.000457198	-66.7979	-0.729568
177.8	1	0.00129271	-57.77	0
177.8	2	0.000457214	-66.7976	-0.50103
199.5	1	0.00129258	-57.7708	0
199.5	2	0.000457583	-66.7906	-0.166641
223.8	1	0.00129722	-57.7397	0
223.8	2	0.000457779	-66.7869	0.126503
251.1	1	0.00129765	-57.7369	0
251.1	2	0.000457372	-66.7946	0.158936
281.7	1	0.00129735	-57.7389	0
281.7	2	0.000457756	-66.7873	0.458282
316.1	1	0.00130036	-57.7187	0
316.1	2	0.000458529	-66.7727	0.710449
354.7	1	0.00129933	-57.7256	0
354.7	2	0.000457898	-66.7846	0.9356
398	1	0.00129887	-57.7287	0
398	2	0.000457907	-66.7845	1.15212
446.6	1	0.00130054	-57.7175	0
446.6	2	0.000457224	-66.7974	1.47952
501.1	1	0.00129924	-57.7262	0
501.1	2	0.000457903	-66.7845	1.84812
562.2	1	0.0013008	-57.7158	0
562.2	2	0.000457711	-66.7882	2.05923
630.8	1	0.00130091	-57.715	0
630.8	2	0.000456404	-66.813	2.42788
707.8	1	0.00130159	-57.7105	0
707.8	2	0.000458956	-66.7646	2.89947
794.2	1	0.00130167	-57.71	0
794.2	2	0.000457334	-66.7953	3.40006
891.1	1	0.00130243	-57.7049	0
891.1	2	0.000457295	-66.7961	3.78796
999.8	1	0.00130029	-57.7192	0
999.8	2	0.000458574	-66.7718	4.39273
1122	1	0.00130416	-57.6934	0
1122	2	0.000456763	-66.8062	5.09928
1259	1	0.00130347	-57.698	0
1259	2	0.000456933	-66.8029	6.08558
1413	1	0.00130489	-57.6885	0
1413	2	0.000460373	-66.7378	6.72357
1585	1	0.00130764	-57.6702	0
1585	2	0.000464202	-66.6659	7.8264
1778	1	0.00131	-57.6546	0
1778	2	0.000465648	-66.6388	8.53602
1995	1	0.00131158	-57.6441	0
1995	2	0.000465029	-66.6504	9.3816
2238	1	0.00131301	-57.6346	0
2238	2	0.00047098	-66.5399	10.7873
2511	1	0.00131587	-57.6157	0
2511	2	0.000471722	-66.5263	12.1484
2817	1	0.00131489	-57.6222	0
2817	2	0.000474471	-66.4758	13.4123
3161	1	0.00131977	-57.59	0
3161	2	0.000478179	-66.4082	15.3721
3547	1	0.00131961	-57.5911	0
3547	2	0.00048231	-66.3335	16.7563
3980	1	0.00132216	-57.5743	0
3980	2	0.000488362	-66.2252	19.1662
4466	1	0.00133089	-57.5171	0
4466	2	0.000498482	-66.047	21.3682
5011	1	0.00133442	-57.4942	0
5011	2	0.000506882	-65.9019	23.7446
5622	1	0.00133712	-57.4766	0
5622	2	0.000518326	-65.7079	26.4889
6308	1	0.00134135	-57.4492	0
6308	2	0.000533484	-65.4576	29.0131
7078	1	0.00134588	-57.4199	0
7078	2	0.000551075	-65.1758	32.1553
7942	1	0.00134816	-57.4052	0
7942	2	0.000571819	-64.8548	35.21
8911	1	0.0013508	-57.3882	0
8911	2	0.000596472	-64.4882	38.4161
9998	1	0.00135447	-57.3646	0
9998	2	0.000627542	-64.0471	41.8578
11220	1	0.00135886	-57.3365	0
11220	2	0.000665291	-63.5398	45.261
12590	1	0.00136122	-57.3215	0
12590	2	0.000708699	-62.9908	48.5974
14130	1	0.00136388	-57.3045	0
