Freq.	V(A)/I(RDC_AB)
1.19398810446427e+01	(-2.94511251965999e+01dB,1.19893704447174e+00°)
1.19674053130724e+01	(-2.94509197061054e+01dB,1.20132312387917e+00°)
1.19949930314937e+01	(-2.94507134041525e+01dB,1.20371233805043e+00°)
1.20226443461741e+01	(-2.94505062881185e+01dB,1.20610468048360e+00°)
1.20503594037179e+01	(-2.94502983553914e+01dB,1.20850014459568e+00°)
1.20781383510677e+01	(-2.94500896033416e+01dB,1.21089872371831e+00°)
1.21059813355048e+01	(-2.94498800293485e+01dB,1.21330041110096e+00°)
1.21338885046497e+01	(-2.94496696307829e+01dB,1.21570519990813e+00°)
1.21618600064636e+01	(-2.94494584050102e+01dB,1.21811308321939e+00°)
1.21898959892486e+01	(-2.94492463493983e+01dB,1.22052405403005e+00°)
1.22179966016487e+01	(-2.94490334613030e+01dB,1.22293810524871e+00°)
1.22461619926504e+01	(-2.94488197380955e+01dB,1.22535522970069e+00°)
1.22743923115840e+01	(-2.94486051771132e+01dB,1.22777542012075e+00°)
1.23026877081238e+01	(-2.94483897757245e+01dB,1.23019866916176e+00°)
1.23310483322890e+01	(-2.94481735312760e+01dB,1.23262496938684e+00°)
1.23594743344450e+01	(-2.94479564411078e+01dB,1.23505431327115e+00°)
1.23879658653036e+01	(-2.94477385025709e+01dB,1.23748669320391e+00°)
1.24165230759240e+01	(-2.94475197130031e+01dB,1.23992210148455e+00°)
1.24451461177138e+01	(-2.94473000697444e+01dB,1.24236053032453e+00°)
1.24738351424294e+01	(-2.94470795701300e+01dB,1.24480197184590e+00°)
1.25025903021771e+01	(-2.94468582114945e+01dB,1.24724641808153e+00°)
1.25314117494141e+01	(-2.94466359911695e+01dB,1.24969386097428e+00°)
1.25602996369487e+01	(-2.94464129064856e+01dB,1.25214429237698e+00°)
1.25892541179416e+01	(-2.94461889547632e+01dB,1.25459770405056e+00°)
1.26182753459066e+01	(-2.94459641333281e+01dB,1.25705408766602e+00°)
1.26473634747114e+01	(-2.94457384395053e+01dB,1.25951343480304e+00°)
1.26765186585784e+01	(-2.94455118706137e+01dB,1.26197573694882e+00°)
1.27057410520853e+01	(-2.94452844239663e+01dB,1.26444098549773e+00°)
1.27350308101665e+01	(-2.94450560968753e+01dB,1.26690917175160e+00°)
1.27643880881134e+01	(-2.94448268866611e+01dB,1.26938028692061e+00°)
1.27938130415752e+01	(-2.94445967906283e+01dB,1.27185432211944e+00°)
1.28233058265601e+01	(-2.94443658060935e+01dB,1.27433126837087e+00°)
1.28528665994361e+01	(-2.94441339303545e+01dB,1.27681111660087e+00°)
1.28824955169313e+01	(-2.94439011607216e+01dB,1.27929385764281e+00°)
1.29121927361353e+01	(-2.94436674944976e+01dB,1.28177948223405e+00°)
