10	1	0.00244022	-52.2514	0
10	2	0.000870044	-61.2092	-16.1857
11.22	1	0.00246228	-52.1733	0
11.22	2	0.000870261	-61.207	-14.2846
12.59	1	0.00248119	-52.1068	0
12.59	2	0.000870482	-61.2048	-12.537
14.13	1	0.00249604	-52.055	0
14.13	2	0.000871124	-61.1984	-10.9135
15.85	1	0.00250813	-52.013	0
15.85	2	0.000871711	-61.1925	-9.42877
17.78	1	0.00251793	-51.9791	0
17.78	2	0.000872302	-61.1867	-8.04796
19.95	1	0.00252632	-51.9502	0
19.95	2	0.000872755	-61.1822	-6.76745
22.38	1	0.0025382	-51.9095	0
22.38	2	0.000875626	-61.1536	-5.5567
25.11	1	0.00254385	-51.8902	0
25.11	2	0.000877644	-61.1336	-4.44053
28.17	1	0.0025474	-51.8781	0
28.17	2	0.000879027	-61.12	-3.38219
31.61	1	0.00255201	-51.8624	0
31.61	2	0.000880944	-61.101	-2.36007
35.47	1	0.00255393	-51.8558	0
35.47	2	0.000883387	-61.077	-1.33292
39.8	1	0.00255712	-51.845	0
39.8	2	0.000886517	-61.0463	-0.45377
44.66	1	0.00255922	-51.8378	0
44.66	2	0.000890444	-61.0079	0.441185
50.11	1	0.00256091	-51.8321	0
50.11	2	0.000895625	-60.9575	1.292
56.22	1	0.00256203	-51.8283	0
56.22	2	0.000901061	-60.9049	2.22211
63.08	1	0.0025633	-51.824	0
63.08	2	0.000907372	-60.8443	3.06389
70.78	1	0.00256499	-51.8183	0
70.78	2	0.000915469	-60.7671	3.80823
79.42	1	0.00256651	-51.8131	0
79.42	2	0.000925226	-60.675	4.59874
89.11	1	0.00256692	-51.8117	0
89.11	2	0.000935669	-60.5776	5.3277
99.98	1	0.00256951	-51.803	0
99.98	2	0.000948038	-60.4635	5.96829
112.2	1	0.00257721	-51.777	0
112.2	2	0.000964465	-60.3143	6.52781
125.9	1	0.00257876	-51.7718	0
125.9	2	0.000978961	-60.1847	6.95166
141.3	1	0.0025801	-51.7673	0
141.3	2	0.000994494	-60.048	7.3241
158.5	1	0.00258111	-51.7639	0
158.5	2	0.00101207	-59.8958	7.55608
177.8	1	0.00258282	-51.7581	0
177.8	2	0.00102845	-59.7563	7.64377
199.5	1	0.00258489	-51.7512	0
199.5	2	0.00104423	-59.6241	7.66463
223.8	1	0.00258888	-51.7378	0
223.8	2	0.00106116	-59.4843	7.58467
251.1	1	0.00259009	-51.7337	0
251.1	2	0.00107636	-59.3608	7.43304
281.7	1	0.00258985	-51.7345	0
281.7	2	0.00109023	-59.2496	7.21301
316.1	1	0.00259532	-51.7162	0
316.1	2	0.00110324	-59.1466	7.00046
354.7	1	0.002595	-51.7173	0
354.7	2	0.0011144	-59.0592	6.76247
398	1	0.00259488	-51.7176	0
398	2	0.00112289	-58.9932	6.57693
446.6	1	0.00259908	-51.7036	0
446.6	2	0.00113125	-58.9289	6.31622
501.1	1	0.00259837	-51.706	0
