Frequency (Hz),"Trace 1: Gain: Real ","Trace 1: Gain: Imaginary ",Trace 1: Gain: Magnitude (dB),"Trace 2: Gain: Real ","Trace 2: Gain: Imaginary ",Trace 2: Gain: Phase (°)
15.848932,-105.70376187051518,63.07598868272167,41.80466110026795,-105.70376187051518,63.07598868272167,149.1744515544468
16.311729,-111.76569132662236,55.62081394544882,41.92713625461213,-111.76569132662236,55.62081394544882,153.54251232467757
16.78804,-109.47233366502455,64.57767120385981,42.08292645754814,-109.47233366502455,64.57767120385981,149.46366813453392
17.27826,-103.01591126403017,69.44397652268813,41.88499426435059,-103.01591126403017,69.44397652268813,146.01572669531205
17.782794,-105.17961162319835,64.46647456234798,41.82376900950257,-105.17961162319835,64.46647456234798,148.49511898353632
18.302061,-103.32567221914361,66.97615926001237,41.8075650515768,-103.32567221914361,66.97615926001237,147.04851386059406
18.836491,-101.55679276727383,70.78263478806878,41.85371110137753,-101.55679276727383,70.78263478806878,145.1244333031144
19.386526,-93.93542754796184,72.5748077105382,41.489408059195554,-93.93542754796184,72.5748077105382,142.31021248130804
19.952623,-97.07653303715126,66.8211272960763,41.42668361305337,-97.07653303715126,66.8211272960763,145.4590220671004
20.53525,-94.59205544593807,71.5819965988263,41.48344690892487,-94.59205544593807,71.5819965988263,142.88359398463027
21.13489,-93.62129962070443,71.63594319412825,41.42910310179634,-93.62129962070443,71.63594319412825,142.57797039059528
21.75204,-89.31125116251212,72.56776380931748,41.219726028952294,-89.31125116251212,72.56776380931748,140.9052244281218
22.387211,-88.55538923826599,74.22627400354793,41.255332060229925,-88.55538923826599,74.22627400354793,140.03058554215704
23.04093,-85.77785080057066,76.10535304622339,41.189212761102205,-85.77785080057066,76.10535304622339,138.4193492360458
23.713737,-82.39809995370658,75.014343714187,40.94002642967135,-82.39809995370658,75.014343714187,137.68560850410918
24.406191,-81.00696249108564,73.68216894589733,40.78862284147793,-81.00696249108564,73.68216894589733,137.71102763972266
25.118864,-78.89159454338575,73.75449679931842,40.668329704931,-78.89159454338575,73.75449679931842,136.9274845151845
25.852348,-76.1966319183948,75.05130164797359,40.58373807078003,-76.1966319183948,75.05130164797359,135.43386600267
26.607251,-73.78216948573201,75.77689806088941,40.486727500405884,-73.78216948573201,75.77689806088941,134.235868781563
27.384196,-73.44980135120728,78.06733376398293,40.602966660991356,-73.44980135120728,78.06733376398293,133.25443333566278
28.183829,-70.40309331564892,76.29851417366918,40.32540549116955,-70.40309331564892,76.29851417366918,132.69872272721128
29.006812,-66.45151070772083,75.4674561046241,40.04800132579882,-66.45151070772083,75.4674561046241,131.36495136652692
29.853826,-64.72822763356305,73.75804916604096,39.83625983585619,-64.72822763356305,73.75804916604096,131.26938253218495
30.725574,-61.627662333321716,74.0441398995207,39.67571535031999,-61.627662333321716,74.0441398995207,129.77094358087757
31.622777,-60.85814413121007,76.49334775117234,39.80228235030718,-60.85814413121007,76.49334775117234,128.5057744108377
32.546178,-57.8995141977781,75.00318848185319,39.53171475589622,-57.8995141977781,75.00318848185319,127.66672983545952
33.496544,-55.1014377368363,73.95198319920978,39.296775992601575,-55.1014377368363,73.95198319920978,126.6897029342778
34.474661,-52.73212083676932,73.84916636613747,39.156306908541715,-52.73212083676932,73.84916636613747,125.52879751622856
35.481339,-52.047718864544954,72.37481954591819,39.00207559946098,-52.047718864544954,72.37481954591819,125.72147006522583
36.517413,-48.77120240593655,72.92770639034183,38.86326031109887,-48.77120240593655,72.92770639034183,123.77305984589366
37.58374,-47.26233583146844,71.78774845602265,38.68480399053745,-47.26233583146844,71.78774845602265,123.35939391153998
38.681205,-44.566919716388334,71.35864588107664,38.49926920733538,-44.566919716388334,71.35864588107664,121.98676800337876
39.810717,-42.19528052548925,70.16411839704928,38.26298064003174,-42.19528052548925,70.16411839704928,121.02184930948651
40.973211,-40.441833490179995,69.12026907498372,38.070716344884175,-40.441833490179995,69.12026907498372,120.33163344182175
42.16965,-37.60463861232356,68.16451301742052,37.825091492375876,-37.60463861232356,68.16451301742052,118.88441102455617
43.401026,-36.32841127921475,66.98833248062982,37.639660471017784,-36.32841127921475,66.98833248062982,118.4713989432532
44.668359,-35.792565100971146,65.98626009662858,37.509165969791304,-35.792565100971146,65.98626009662858,118.47648948041588
45.972699,-34.00371115969205,65.66018199895042,37.37789734786332,-34.00371115969205,65.66018199895042,117.37847129326654
47.315126,-31.15110631554038,65.16572610632443,37.174177802213606,-31.15110631554038,65.16572610632443,115.54915172241331
48.696753,-30.255660550143812,63.541641202409416,36.94863519590895,-30.255660550143812,63.541641202409416,115.46168105267996
50.118723,-27.582606353075292,62.5758322668056,36.69924185046063,-27.582606353075292,62.5758322668056,113.78725610991512
51.582217,-25.666302490249585,61.63534920249355,36.49108436342962,-25.666302490249585,61.63534920249355,112.6079090502504
53.088444,-24.991784692809656,60.14921738795929,36.276236582361044,-24.991784692809656,60.14921738795929,112.5627098578226
54.638655,-23.806029814528472,59.00866337955161,36.07320897663683,-23.806029814528472,59.00866337955161,111.97076411767792
56.234133,-21.34730482946761,57.94118120947411,35.81254037469623,-21.34730482946761,57.94118120947411,110.22534166244117
57.876199,-20.59900885450638,57.06218527648199,35.6589645626103,-20.59900885450638,57.06218527648199,109.84919147446944
59.566214,-17.886157675982513,56.5192502940913,35.45843811515547,-17.886157675982513,56.5192502940913,107.56056597441454
61.305579,-18.63419370823078,54.4310012725465,35.198236737296426,-18.63419370823078,54.4310012725465,108.89839506441504
63.095734,-16.676942834142185,53.555015468808755,34.97794623287556,-16.676942834142185,53.555015468808755,107.29650176622052
64.938163,-15.960950424512305,52.015873097534495,34.713508345484414,-15.960950424512305,52.015873097534495,107.05851071482154
66.834392,-14.592107209732573,51.275498807999234,34.536403281304274,-14.592107209732573,51.275498807999234,105.885423016379
68.785991,-13.835276478418054,49.856904897007304,34.27668786140129,-13.835276478418054,49.856904897007304,105.50931891140111
70.794578,-13.054069830030834,48.448125232930515,34.0099183213034,-13.054069830030834,48.448125232930515,105.07989358313533
72.861817,-12.22097391060238,47.1248279515373,33.7476696581014,-12.22097391060238,47.1248279515373,104.53835801028977
74.989421,-11.163217179954943,46.12246800171547,33.525489991602996,-11.163217179954943,46.12246800171547,103.60588863270631
77.179152,-10.144129184411776,44.94116643808311,33.268705737600975,-10.144129184411776,44.94116643808311,102.71965362892438
79.432823,-9.709168906699476,43.792023346485436,33.03629977250359,-9.709168906699476,43.792023346485436,102.5008867437222
81.752304,-8.625963256174787,42.6981494535764,32.78190758488062,-8.625963256174787,42.6981494535764,101.42128229621092
84.139514,-8.34652448508341,41.59986984269111,32.553240484346155,-8.34652448508341,41.59986984269111,101.34508988943564
86.596432,-7.222411399715341,40.67417343432292,32.3211942711811,-7.222411399715341,40.67417343432292,100.0689187948089
89.125094,-6.892295961458779,39.4550278288883,32.05259314589562,-6.892295961458779,39.4550278288883,99.90886576281785
91.727594,-6.120705003076811,38.51931594215287,31.821865252608234,-6.120705003076811,38.51931594215287,99.0287934683873
94.406088,-5.365115115870109,37.43490245340427,31.553835284328933,-5.365115115870109,37.43490245340427,98.15600739270702
97.162795,-4.99186786541531,36.463662858375294,31.31784605571034,-4.99186786541531,36.463662858375294,97.79532251181034
