Freq.	V(p15v_pri)/V(inj)
1.12719745617551e+00	(7.00844158229617e+01dB,1.03272246282043e+02°)
1.12979591467279e+00	(7.00657739733482e+01dB,1.03246975182541e+02°)
1.13240036323555e+00	(7.00471292573135e+01dB,1.03221752299264e+02°)
1.13501081567231e+00	(7.00284816862763e+01dB,1.03196577508845e+02°)
1.13762728582343e+00	(7.00098312715693e+01dB,1.03171450688041e+02°)
1.14024978756117e+00	(6.99911780244382e+01dB,1.03146371713735e+02°)
1.14287833478977e+00	(6.99725219560429e+01dB,1.03121340462941e+02°)
1.14551294144553e+00	(6.99538630774572e+01dB,1.03096356812805e+02°)
1.14815362149688e+00	(6.99352013996695e+01dB,1.03071420640605e+02°)
1.15080038894443e+00	(6.99165369335824e+01dB,1.03046531823759e+02°)
1.15345325782109e+00	(6.98978696900137e+01dB,1.03021690239822e+02°)
1.15611224219209e+00	(6.98791996796963e+01dB,1.02996895766495e+02°)
1.15877735615512e+00	(6.98605269132783e+01dB,1.02972148281619e+02°)
1.16144861384034e+00	(6.98418514013237e+01dB,1.02947447663186e+02°)
1.16412602941049e+00	(6.98231731543122e+01dB,1.02922793789335e+02°)
1.16680961706096e+00	(6.98044921826399e+01dB,1.02898186538359e+02°)
1.16949939101987e+00	(6.97858084966192e+01dB,1.02873625788704e+02°)
1.17219536554813e+00	(6.97671221064794e+01dB,1.02849111418974e+02°)
1.17489755493953e+00	(6.97484330223667e+01dB,1.02824643307933e+02°)
1.17760597352080e+00	(6.97297412543447e+01dB,1.02800221334505e+02°)
1.18032063565173e+00	(6.97110468123945e+01dB,1.02775845377780e+02°)
1.18304155572516e+00	(6.96923497064150e+01dB,1.02751515317014e+02°)
1.18576874816716e+00	(6.96736499462235e+01dB,1.02727231031633e+02°)
1.18850222743701e+00	(6.96549475415554e+01dB,1.02702992401233e+02°)
1.19124200802737e+00	(6.96362425020650e+01dB,1.02678799305585e+02°)
1.19398810446427e+00	(6.96175348373256e+01dB,1.02654651624637e+02°)
1.19674053130724e+00	(6.95988245568299e+01dB,1.02630549238514e+02°)
1.19949930314937e+00	(6.95801116699898e+01dB,1.02606492027521e+02°)
1.20226443461741e+00	(6.95613961861376e+01dB,1.02582479872150e+02°)
1.20503594037179e+00	(6.95426781145253e+01dB,1.02558512653076e+02°)
1.20781383510677e+00	(6.95239574643258e+01dB,1.02534590251161e+02°)
1.21059813355048e+00	(6.95052342446324e+01dB,1.02510712547459e+02°)
1.21338885046497e+00	(6.94865084644599e+01dB,1.02486879423215e+02°)
1.21618600064636e+00	(6.94677801327441e+01dB,1.02463090759871e+02°)
1.21898959892486e+00	(6.94490492583426e+01dB,1.02439346439062e+02°)
1.22179966016487e+00	(6.94303158500351e+01dB,1.02415646342627e+02°)
1.22461619926504e+00	(6.94115799165236e+01dB,1.02391990352602e+02°)
1.22743923115840e+00	(6.93928414664325e+01dB,1.02368378351228e+02°)
1.23026877081238e+00	(6.93741005083095e+01dB,1.02344810220953e+02°)
1.23310483322890e+00	(6.93553570506251e+01dB,1.02321285844432e+02°)
1.23594743344450e+00	(6.93366111017738e+01dB,1.02297805104530e+02°)
1.23879658653036e+00	(6.93178626700737e+01dB,1.02274367884324e+02°)
